Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
04/01/2021,Maritimes,GB+DR+MM,000006022940860,AO MANUF.,-0.003,545740.0406,490008.4508,171886.5583,153603.9917,84.31845286,87.22598571,6238.596334,5471.007659,3.081984829,3.091676605,3.101368381,3.091676605,2.878457529,3.140135486,0.087225986,0.048458881
04/01/2021,Maritimes,GB+DR+MM,000005677925176,AO MANUF.,-0.003,325693.1081,280949.0849,72579.77353,63732.15105,68.81161095,66.87325571,4576.456717,4071.515178,4.351607509,4.2740733,4.506675929,4.351607509,3.857326924,3.896094029,0.232602629,0.164760195
04/01/2021,Maritimes,GB+DR+MM,000004150080502,A,0.025,310349.212,298856.2088,73407.73267,69569.03951,96.31849022,96.31849022,3216.636246,3099.248086,4.244033475,4.314265708,4.71559275,4.705559574,3.892872313,3.993204074,0.571891036,0.56185786
04/01/2021,Maritimes,GB+DR+MM,000005700000940,G,-0.009,293676.4263,305601.2702,61852.39757,62720.1016,93.4899968,93.4899968,3047.189583,3167.947496,4.625807133,4.742669629,4.956917539,4.859532125,4.070710277,4.099925901,0.370064571,0.14607812
04/01/2021,Maritimes,GB+DR+MM,000005700000912,G,-0.009,282141.1241,192620.5567,65378.72339,43040.45728,87.646872,85.69916373,3126.071768,2183.380967,4.207049856,4.362866517,4.655022757,4.479729013,3.836985285,4.080448819,0.535619773,0.29215624
04/01/2021,Maritimes,GB+DR+MM,000002100002685,AO MANUF.,-0.003,237476.1707,232092.501,52473.87949,51347.17881,54.86542414,53.88568442,4249.131151,4218.75922,4.438220917,4.42842352,4.448018314,4.457815711,2.949016547,2.439551895,0.009797397,0.009797397
04/01/2021,Maritimes,GB+DR+MM,000005677925177,AO MANUF.,-0.003,224565.1607,204223.8047,50180.30881,46499.4267,67.60204045,67.60204045,3256.654818,2966.651862,4.389233931,4.301057356,4.555789683,4.399031328,3.918958867,3.869971881,0.264529724,0.186150546
04/01/2021,Maritimes,GB+DR+MM,000077034303816,AO MANUF.,-0.003,186368.0484,188138.4381,53735.78424,57512.68085,68.58178017,68.58178017,2644.317495,2670.770468,3.399696817,3.203748874,3.399696817,3.262533257,2.508133675,2.949016547,0,0.186150546
04/01/2021,Maritimes,GB+DR+MM,000005700000060,G,-0.009,173581.7084,111826.6963,49379.27383,32496.53858,64.2743728,52.5881232,2646.935534,2076.257012,3.427966549,3.350058219,3.437705091,3.408489467,2.1911718,2.210648883,0.009738541,0.048692707
04/01/2021,Maritimes,GB+DR+MM,000005700000913,G,-0.009,172595.1942,155066.7937,59188.90652,52573.51539,84.7253096,87.646872,1981.793161,1732.486503,2.843654069,2.872869693,2.882608235,2.872869693,2.668360325,1.889277019,0.194770827,0
04/01/2021,Maritimes,GB+DR+MM,000005620078067,A,0.025,162188.5305,131400.9532,37765.66933,30159.27977,88.75949537,84.77030457,1821.065602,1553.789818,4.278407136,4.348217975,4.777055987,4.797001941,3.939325918,4.009136757,0.588405643,0.578432666
04/01/2021,Maritimes,GB+DR+MM,000005972100003,B,-0.012,154009.3467,164585.104,49261.66776,54840.40358,91.5484853,91.5484853,1605.913013,1723.20951,2.984862073,2.860890166,3.204196985,3.070688778,2.670164154,2.632018952,0.400524623,0.457742426
04/01/2021,Maritimes,GB+DR+MM,000005620080506,A,0.025,123960.7214,109782.7862,17208.22024,14712.1676,79.14554553,77.1669069,1551.252692,1411.758668,7.123099098,7.380322121,7.647438337,7.825515815,6.123886586,6.410789188,0.336368569,0.316582182
04/01/2021,Maritimes,GB+DR+MM,000062287170111,G,-0.009,82438.04567,86802.71966,16019.26165,16964.07155,85.01357042,85.01357042,939.9795912,982.4863764,4.975225996,4.946244097,5.14911739,4.984886629,4.241017888,4.212035989,0.183552027,0.057963798
04/01/2021,Maritimes,GB+DR+MM,000062178703643,L,-0.006,65783.38566,50373.38175,8294.490067,6304.664957,31.00019647,27.12517191,2055.700528,1829.011592,7.682236187,7.740361555,7.70161131,7.779111801,7.236608363,5.628473171,0.038750246,0.019375123
04/01/2021,Maritimes,GB+DR+MM,000005620083923,A,0.025,65670.11579,60861.7202,15646.01773,14002.59144,75.92729375,79.9234671,863.1734447,761.2710241,4.195982023,4.345838524,4.775427159,4.885321927,3.906259455,3.996173355,0.669359037,0.609416437
04/01/2021,Maritimes,GB+DR+MM,000005700000925,G,-0.009,59376.40694,75276.06322,7196.696799,8644.425964,40.97346693,58.53352419,1410.657933,1248.715183,8.048359576,8.497116594,8.184937799,8.497116594,4.711948697,5.209483653,0.039022349,0
04/01/2021,Maritimes,GB+DR+MM,000005900000624,AO MANUF.,-0.003,55736.80797,82030.95874,16431.51328,24998.63067,49.07273109,67.7203689,1108.062268,1183.634274,3.327131168,3.219171159,3.376203899,3.248614798,2.021796521,1.697916496,0.029443639,0.019629092
04/01/2021,Maritimes,GB+DR+MM,000006840000131,AO MANUF.,-0.003,55514.99923,0,13658.90397,0,57.90582268,0,945.1408008,0,3.984705764,0,4.524505806,0,3.199542067,0,0.402396395,0
04/01/2021,Maritimes,GB+DR+MM,000005620093161,A,0.025,56370.02135,75150.03803,14814.81367,19918.92609,50.95121028,74.92825041,1096.949586,1006.036642,3.796364687,3.766393387,3.916249888,3.886278588,3.246890851,3.446699519,0.169837368,0.269741701
04/01/2021,Maritimes,GB+DR+MM,000014973377000,E,-0.007,54302.04832,44115.42154,9650.125184,7594.850694,71.00756395,70.02134779,754.455367,618.3575361,5.552397015,5.729915924,5.877848349,5.956745643,4.881770022,5.098737578,0.325451335,0.266278365
04/01/2021,Maritimes,GB+DR+MM,000005700003603,G,-0.009,44246.61185,42225.61608,14398.97477,13709.43522,70.44216968,75.40288586,624.0580948,554.6080683,3.045879731,3.055801164,3.075644028,3.085565461,2.916901111,1.894993579,0.148821485,0.019842865
04/01/2021,Maritimes,GB+DR+MM,000005620078068,A,0.025,44536.53083,46227.19988,10757.69468,10896.89039,75.18600359,78.23408482,602.5040558,596.4078933,4.206352093,4.3079548,4.683884818,4.765166984,3.952345324,3.992986407,0.660417599,0.599455975
04/01/2021,Maritimes,GB+DR+MM,000005620081879,A,0.025,42697.52182,67405.26824,5973.223177,9074.137812,47.75327255,70.10586821,905.2801243,976.4020196,7.26459359,7.549081171,7.67100442,8.046934438,5.669431081,6.553374637,0.203205415,0.335288935
04/01/2021,Maritimes,GB+DR+MM,000005700000677,G,-0.009,40613.38332,42430.98973,6972.782655,7338.883509,74.41074262,79.3714588,543.6944928,529.8044875,5.774273628,5.734587898,5.903252248,5.903252248,4.901187581,4.930951878,0.128978621,0.16866435
