Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
08/01/2021,Maritimes,GB+DR+MM,6022940860,AO MANUF.,0.016,515607.0161,468558.4784,164362.276,146880.0232,80.62743798,83.40769447,5965.503659,5231.515947,2.947071871,2.956339393,2.965606914,2.956339393,2.752453917,3.002677001,0.083407694,0.046337608
08/01/2021,Maritimes,GB+DR+MM,5677925176,AO MANUF.,0.016,311435.9904,268650.6234,69402.61581,60942.29534,65.79940341,63.94589909,4376.123703,3893.285827,4.161117202,4.086977029,4.309397547,4.161117202,3.6884736,3.725543686,0.222420519,0.157547867
08/01/2021,Maritimes,GB+DR+MM,4150080502,A,0.01,297688.9224,286664.7612,70413.16037,66731.06167,92.38930357,92.38930357,3085.417784,2972.81832,4.070903689,4.138270889,4.523226321,4.513602435,3.734067686,3.830306544,0.54856149,0.538937604
08/01/2021,Maritimes,GB+DR+MM,5700000940,G,0.006,274420.1989,285563.1363,57796.76448,58607.57356,87.35990096,87.35990096,2847.386772,2960.226644,4.3224951,4.431694976,4.631894749,4.540894852,3.803795688,3.831095657,0.345799608,0.136499845
08/01/2021,Maritimes,GB+DR+MM,5700000912,G,0.006,263641.2611,179990.5159,61091.87074,40218.3144,81.89990715,80.07990921,2921.096688,2040.217687,3.931195543,4.076795378,4.349795069,4.185995254,3.585395935,3.812895677,0.500499433,0.27299969
08/01/2021,Maritimes,GB+DR+MM,2100002685,AO MANUF.,0.016,227080.7229,221932.7217,50176.85122,49099.47153,52.46370672,51.52685482,4063.126715,4034.084306,4.243939133,4.234570614,4.253307652,4.262676171,2.819924236,2.332761245,0.009368519,0.009368519
08/01/2021,Maritimes,GB+DR+MM,5677925177,AO MANUF.,0.016,214734.8885,195283.9692,47983.68091,44463.9283,64.6427815,64.6427815,3114.095735,2836.787571,4.197096538,4.112779866,4.356361362,4.206465057,3.747407623,3.700565028,0.252950015,0.178001862
08/01/2021,Maritimes,GB+DR+MM,77034303816,AO MANUF.,0.016,178209.8432,179902.7346,51383.51648,54995.08057,65.5796334,65.5796334,2528.563294,2553.858295,3.250876113,3.063505732,3.250876113,3.119716846,2.398340879,2.819924236,0,0.178001862
08/01/2021,Maritimes,GB+DR+MM,5700000060,G,0.006,162200.0361,104494.2715,46141.49769,30365.75557,60.05993191,49.13994429,2473.377196,1940.1178,3.203196369,3.130396451,3.212296358,3.184996389,2.047497679,2.065697658,0.00909999,0.045499948
08/01/2021,Maritimes,GB+DR+MM,5700000913,G,0.006,161278.2072,144899.1357,55307.9173,49126.2943,79.16991024,81.89990715,1851.847901,1618.888165,2.657196988,2.684496957,2.693596946,2.684496957,2.493397173,1.765397999,0.181999794,0
