Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
02/01/2021,Maritimes,WC+GM+TRU,000006022940860,AO MANUF.,0.002,442656.2066,397451.6544,139419.2219,124590.0158,68.39169515,70.75002946,5060.199329,4437.59907,2.499834374,2.507695489,2.515556603,2.507695489,2.334750972,2.547001061,0.070750029,0.039305572
02/01/2021,Maritimes,WC+GM+TRU,000005677925176,AO MANUF.,0.002,264173.535,227881.1282,58870.3134,51693.90208,55.81391213,54.24168925,3712.018212,3302.454153,3.529640359,3.466751444,3.655418189,3.529640359,3.128723525,3.160167983,0.188666745,0.133638945
02/01/2021,Maritimes,WC+GM+TRU,000004150080502,A,0.008,248776.9234,239564.0952,58843.87389,55766.76514,77.20921059,77.20921059,2578.465929,2484.367203,3.402030842,3.458329225,3.780034269,3.771991643,3.120538928,3.200965189,0.458429688,0.450387062
02/01/2021,Maritimes,WC+GM+TRU,000005700000940,G,0.003,239883.2031,249623.7525,50522.78603,51231.5512,76.36527103,76.36527103,2489.030553,2587.669028,3.778489973,3.873946562,4.048950308,3.96940315,3.325071176,3.348935323,0.302279198,0.119320736
02/01/2021,Maritimes,WC+GM+TRU,000005700000912,G,0.003,230460.8423,157337.9134,53403.1886,35156.66165,71.59244159,70.00149844,2553.46375,1783.447267,3.436437196,3.563712648,3.80235412,3.659169237,3.134157998,3.333025892,0.437509365,0.238641472
02/01/2021,Maritimes,WC+GM+TRU,000002100002685,AO MANUF.,0.002,192619.733,188252.9747,42562.18476,41648.30451,44.50199493,43.70731645,3446.520572,3421.885539,3.599893519,3.591946734,3.607840303,3.615787088,2.391982228,1.978749418,0.007946785,0.007946785
02/01/2021,Maritimes,WC+GM+TRU,000005677925177,AO MANUF.,0.002,182147.4599,165648.3453,40701.84244,37716.23538,54.83281518,54.83281518,2641.511271,2406.28644,3.560159595,3.488638531,3.695254936,3.568106379,3.178713924,3.13898,0.21456319,0.150988911
02/01/2021,Maritimes,WC+GM+TRU,000077034303816,AO MANUF.,0.002,151165.33,152601.314,43585.73064,46649.21619,55.62749366,55.62749366,2144.83722,2166.293539,2.757534329,2.598598633,2.757534329,2.646279341,2.034376911,2.391982228,0,0.150988911
02/01/2021,Maritimes,WC+GM+TRU,000005700000060,G,0.003,141786.4442,91343.20528,40334.38612,26544.09093,52.50112383,42.95546495,2162.091736,1695.945394,2.800059938,2.736422212,2.808014653,2.784150506,1.78981104,1.805720471,0.007954716,0.039773579
02/01/2021,Maritimes,WC+GM+TRU,000005700000913,G,0.003,140980.6315,126662.9386,48347.17128,42943.53288,69.20602687,71.59244159,1618.784652,1415.143929,2.322776994,2.346641141,2.354595857,2.346641141,2.179592111,1.543214852,0.159094315,0
