Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
07/01/2021,Maritimes,WC+GM+TRU,6022940860,AO MANUF.,-0.006,395137.4227,354785.5424,124452.6818,111215.3789,61.04990228,63.15507132,4516.991046,3961.226418,2.231479187,2.238496417,2.245513647,2.238496417,2.084117354,2.273582568,0.063155071,0.035086151
07/01/2021,Maritimes,WC+GM+TRU,5677925176,AO MANUF.,-0.006,235814.7208,203418.2744,52550.63312,46144.60372,49.82233404,48.41888801,3313.536075,2947.938385,3.150736336,3.094598495,3.263012018,3.150736336,2.792857598,2.820926519,0.168413524,0.119292912
07/01/2021,Maritimes,WC+GM+TRU,4150080502,A,0.003,228797.7082,220324.76,54118.13645,51288.14957,71.00855736,71.00855736,2371.389947,2284.848268,3.128814559,3.180591632,3.476460621,3.469063896,2.869929193,2.943896441,0.421613309,0.414216585
07/01/2021,Maritimes,WC+GM+TRU,5700000940,G,0.006,212385.817,221009.8246,44731.44869,45358.96937,67.61165547,67.61165547,2203.717396,2291.049117,3.34536837,3.429882939,3.584826316,3.514397508,2.943924165,2.965052808,0.26762947,0.105643212
07/01/2021,Maritimes,WC+GM+TRU,5700000912,G,0.006,204043.5248,139302.5475,47281.67582,31126.71589,63.38592701,61.97735085,2260.76473,1579.013871,3.042524496,3.155210589,3.366497012,3.239725158,2.774895027,2.950967046,0.387358443,0.211286423
07/01/2021,Maritimes,WC+GM+TRU,2100002685,AO MANUF.,-0.006,171942.1612,168044.1709,37993.16883,37177.39288,39.72474196,39.01537157,3076.539391,3054.548908,3.213447876,3.206354172,3.22054158,3.227635284,2.13520488,1.766332276,0.007093704,0.007093704
07/01/2021,Maritimes,WC+GM+TRU,5677925177,AO MANUF.,-0.006,162594.0782,147866.1301,36332.53274,33667.42818,48.94655706,48.94655706,2357.947183,2147.973547,3.177979357,3.114136021,3.298572323,3.185073061,2.837481568,2.802013049,0.191530006,0.134780374
07/01/2021,Maritimes,WC+GM+TRU,77034303816,AO MANUF.,-0.006,134937.8547,136219.687,38906.8379,41641.46076,49.65592745,49.65592745,1914.590688,1933.743689,2.461515261,2.319641182,2.461515261,2.362203406,1.815988204,2.13520488,0,0.134780374
07/01/2021,Maritimes,WC+GM+TRU,5700000060,G,0.006,125533.7156,80872.69569,35710.92699,23501.38887,46.48301314,38.0315562,1914.254996,1501.542182,2.479094034,2.422750988,2.486136915,2.465008272,1.584648175,1.598733937,0.007042881,0.035214404
07/01/2021,Maritimes,WC+GM+TRU,5700000913,G,0.006,124820.2717,112143.7906,42805.22079,38020.99188,61.27306277,63.38592701,1433.226238,1252.92849,2.056521187,2.07764983,2.08469271,2.07764983,1.929749333,1.366318871,0.140857616,0
07/01/2021,Maritimes,WC+GM+TRU,5620078067,A,0.003,119569.7061,96872.28381,27841.85769,22234.22463,65.43586495,62.4949272,1342.538083,1145.495254,3.154155738,3.205622148,3.521772957,3.536477645,2.904176029,2.955642439,0.433788318,0.426435974
07/01/2021,Maritimes,WC+GM+TRU,5972100003,B,0.0045,114042.8153,121874.0876,36477.91124,40608.92506,67.79099598,67.79099598,1189.167054,1276.024268,2.210268931,2.118468624,2.372684859,2.27382299,1.977237383,1.948991134,0.296585607,0.33895498
07/01/2021,Maritimes,WC+GM+TRU,5620080506,A,0.003,91387.14669,80934.79512,12686.35847,10846.20195,58.34820497,56.88949985,1143.624818,1040.786106,5.251338448,5.440970114,5.637895306,5.769178767,4.51469236,4.726204603,0.247979871,0.23339282
07/01/2021,Maritimes,WC+GM+TRU,62287170111,G,0.006,59618.92108,62775.43883,11585.07687,12268.36026,61.48153204,61.48153204,679.7901213,710.5308874,3.598066932,3.577107319,3.723824611,3.60505347,3.067090064,3.046130451,0.132744217,0.041919226
07/01/2021,Maritimes,WC+GM+TRU,62178703643,L,0.012,48250.7887,36947.86114,6083.841438,4624.344789,22.73801986,19.89576738,1507.814942,1341.543172,5.634765546,5.677399333,5.648976809,5.705821858,5.307906511,4.128371731,0.028422525,0.014211262
07/01/2021,Maritimes,WC+GM+TRU,5620083923,A,0.003,48413.75912,44868.88177,11534.66115,10323.0835,55.97562401,58.92170948,636.3544624,561.2292828,3.093389748,3.203867953,3.520572142,3.601589492,2.879798551,2.946085474,0.493469317,0.449278035
07/01/2021,Maritimes,WC+GM+TRU,5700000925,G,0.006,42940.82048,54439.39915,5204.627245,6251.620173,29.63187533,42.33125047,1020.183136,903.0666767,5.82054694,6.145086526,5.919319857,6.145086526,3.407665663,3.767481292,0.028220834,0
07/01/2021,Maritimes,WC+GM+TRU,5900000624,AO MANUF.,-0.006,40355.6584,59393.66586,11897.06696,18099.99956,35.53060257,49.03223154,802.281006,856.9981339,2.408974854,2.330807528,2.444505457,2.35212589,1.463860826,1.229358849,0.021318362,0.014212241
07/01/2021,Maritimes,WC+GM+TRU,6840000131,AO MANUF.,-0.006,40195.06007,0,9889.587918,0,41.92611103,0,684.3194054,0,2.885084928,0,3.275921557,0,2.316595287,0,0.291350941,0
07/01/2021,Maritimes,WC+GM+TRU,5620093161,A,0.003,41557.4817,55402.61038,10921.87537,14684.76305,37.56258979,55.23910264,808.7004626,741.6770181,2.7987812,2.776685559,2.887163765,2.865068124,2.393694448,2.540998721,0.125208633,0.198860769
07/01/2021,Maritimes,WC+GM+TRU,14973377000,E,0.005,40593.45404,32978.4491,7213.943585,5677.524737,53.08164927,52.34440414,563.9925235,462.2526957,4.150690075,4.283394198,4.393980968,4.452960578,3.649363387,3.811557316,0.243290892,0.199056185
07/01/2021,Maritimes,WC+GM+TRU,5700003603,G,0.006,31999.00287,30537.42544,10413.29078,9914.618062,50.94354338,54.53111685,451.3167434,401.0907148,2.202770115,2.209945262,2.224295556,2.231470703,2.109493205,1.370453068,0.107627204,0.014350294
07/01/2021,Maritimes,WC+GM+TRU,5620078068,A,0.003,32833.51719,34079.92346,7930.85915,8033.477936,55.42912515,57.67625185,444.1820434,439.6877901,3.10103484,3.175939063,3.453084689,3.513008067,2.913774282,2.943735971,0.486877451,0.441934917
07/01/2021,Maritimes,WC+GM+TRU,5620081879,A,0.003,31477.75075,49692.95974,4403.619281,6689.696172,35.20498489,51.68391399,667.3966285,719.8295847,5.355651957,5.565383782,5.65526885,5.932414476,4.179655653,4.831322395,0.149808446,0.247183936
07/01/2021,Maritimes,WC+GM+TRU,5700000677,G,0.006,29371.46406,30685.95098,5042.69328,5307.456202,53.81360216,57.40117564,393.1980531,383.1528474,4.175935528,4.14723494,4.269212438,4.269212438,3.544522596,3.566048036,0.09327691,0.121977498
