Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
06/01/2021,Maritimes,GB+DR+MM,6022940860,AO MANUF.,0.006,524114.6098,470591.4334,165075.4017,147517.2979,80.97725975,83.76957905,5991.386448,5254.214152,2.95985846,2.969166191,2.978473922,2.969166191,2.764396109,3.015704846,0.083769579,0.046538655
06/01/2021,Maritimes,GB+DR+MM,5677925176,AO MANUF.,0.006,312787.2312,269816.2295,69703.73595,61206.70832,66.08489014,64.22334394,4395.110581,3910.177795,4.179171221,4.104709373,4.328094917,4.179171221,3.70447694,3.741707864,0.223385544,0.158231427
06/01/2021,Maritimes,GB+DR+MM,4150080502,A,0.002,300756.6401,289618.8737,71138.77589,67418.73274,93.34138571,93.34138571,3117.21336,3003.453546,4.112854808,4.180916235,4.569838675,4.560115614,3.772547672,3.869778282,0.554214478,0.544491417
06/01/2021,Maritimes,GB+DR+MM,5700000940,G,-0.02,278350.5081,289653.0371,58624.54302,59446.9647,88.61108954,88.61108954,2888.1677,3002.62369,4.384402868,4.49516673,4.69823381,4.605930592,3.858274524,3.885965489,0.350752229,0.138454827
06/01/2021,Maritimes,GB+DR+MM,5700000912,G,-0.02,267417.1919,182568.3815,61966.84256,40794.33035,83.07289645,81.22683208,2962.933307,2069.438154,3.987499029,4.135184179,4.412093834,4.245948041,3.6367468,3.867504846,0.507667701,0.276909655
06/01/2021,Maritimes,GB+DR+MM,2100002685,AO MANUF.,0.006,228065.9679,222895.6308,50394.5557,49312.50154,52.69133328,51.75041662,4080.755579,4051.587163,4.262352496,4.252943329,4.271761663,4.281170829,2.832159164,2.342882498,0.009409167,0.009409167
06/01/2021,Maritimes,GB+DR+MM,5677925177,AO MANUF.,0.006,215666.568,196131.2562,48191.86979,44656.84587,64.92324994,64.92324994,3127.606997,2849.095664,4.215306663,4.130624163,4.375262496,4.224715829,3.763666663,3.71662083,0.2540475,0.178774166
06/01/2021,Maritimes,GB+DR+MM,77034303816,AO MANUF.,0.006,178983.05,180683.2864,51606.45637,55233.69011,65.8641666,65.8641666,2539.534081,2564.938831,3.26498083,3.076797497,3.26498083,3.133252497,2.408746664,2.832159164,0,0.178774166
06/01/2021,Maritimes,GB+DR+MM,5700000060,G,-0.02,164523.1023,105990.8625,46802.34683,30800.66091,60.92012406,49.84373787,2508.801473,1967.904614,3.249073283,3.175230709,3.258303605,3.23061264,2.076822411,2.095283055,0.009230322,0.046151609
06/01/2021,Maritimes,GB+DR+MM,5700000913,G,-0.02,163588.0707,146974.4145,56100.05,49829.89239,80.3037999,83.07289645,1878.370492,1642.074253,2.695253974,2.722944939,2.732175261,2.722944939,2.529108181,1.790682435,0.184606437,0
06/01/2021,Maritimes,GB+DR+MM,5620078067,A,0.002,157175.4514,127339.4862,36598.37171,29227.08775,86.01603154,82.15014248,1764.778355,1505.763788,4.146166015,4.213819073,4.629402147,4.648731592,3.817565445,3.885218503,0.570218636,0.560553913
06/01/2021,Maritimes,GB+DR+MM,5972100003,B,-0.003,149686.4458,159965.3513,47878.938,53301.08383,88.97880341,88.97880341,1560.83651,1674.840602,2.901079736,2.780587606,3.114258119,2.984497364,2.595215099,2.558140598,0.389282265,0.444894017
06/01/2021,Maritimes,GB+DR+MM,5620080506,A,0.002,120129.2242,106389.5143,16676.33202,14257.42977,76.69923891,74.78175794,1503.305083,1368.122674,6.902931502,7.152204028,7.41106396,7.583637247,5.934603611,6.212638352,0.325971765,0.306796956
06/01/2021,Maritimes,GB+DR+MM,62287170111,G,-0.02,78135.90006,82272.79738,15183.2739,16078.77757,80.57701742,80.57701742,890.9254313,931.21394,4.715586815,4.688117377,4.880403442,4.724743294,4.019694392,3.992224954,0.173973106,0.054938876
06/01/2021,Maritimes,GB+DR+MM,62178703643,L,0.002,62862.02857,48136.36347,7926.142238,6024.682747,29.62351689,25.92057728,1964.409464,1747.787496,7.341077779,7.396621873,7.359592477,7.433651269,6.915239724,5.378519785,0.037029396,0.018514698
06/01/2021,Maritimes,GB+DR+MM,5620083923,A,0.002,63640.3207,58980.54763,15162.41557,13569.78588,73.58045994,77.45311573,836.4936499,737.7409273,4.066288576,4.211513168,4.627823665,4.734321699,3.785521031,3.872655787,0.648669844,0.590580007
