Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
06/01/2021,Maritimes,WC+GM+TRU,6022940860,AO MANUF.,0.006,398718.7142,358001.1084,125580.6472,112223.3692,61.60322242,63.72747147,4557.930376,3997.128627,2.251703992,2.258784822,2.265865652,2.258784822,2.103006559,2.294188973,0.063727471,0.035404151
06/01/2021,Maritimes,WC+GM+TRU,5677925176,AO MANUF.,0.006,237952.0057,205261.9371,53026.92093,46562.83107,50.27389416,48.85772813,3343.568003,2974.656752,3.179292743,3.122646102,3.292586026,3.179292743,2.818170405,2.846493726,0.169939924,0.120374113
06/01/2021,Maritimes,WC+GM+TRU,4150080502,A,0.002,228799.7674,220326.743,54118.62352,51288.61117,71.00919644,71.00919644,2371.41129,2284.868831,3.128842718,3.180620257,3.476491909,3.469095118,2.869955023,2.943922936,0.421617104,0.414220313
06/01/2021,Maritimes,WC+GM+TRU,5700000940,G,-0.02,211754.3655,220352.7327,44598.45609,45224.11107,67.41063695,67.41063695,2197.165448,2284.237521,3.335422141,3.419685437,3.574168147,3.503948733,2.935171484,2.956237308,0.266833771,0.10532912
06/01/2021,Maritimes,WC+GM+TRU,5700000912,G,-0.02,203436.876,138888.3823,47141.10105,31034.17199,63.19747214,61.79308387,2254.043173,1574.319251,3.033478663,3.145829724,3.356487965,3.230093021,2.766644892,2.942193425,0.386206774,0.21065824
06/01/2021,Maritimes,WC+GM+TRU,2100002685,AO MANUF.,0.006,173500.5431,169567.2237,38337.5164,37514.34674,40.08478348,39.36898378,3104.423321,3082.23353,3.242572664,3.235414667,3.249730661,3.256888658,2.154557112,1.782341266,0.007157997,0.007157997
06/01/2021,Maritimes,WC+GM+TRU,5677925177,AO MANUF.,0.006,164067.7346,149206.3011,36661.82929,33972.5698,49.39017965,49.39017965,2379.31822,2167.441507,3.206782679,3.142360705,3.328468628,3.213940676,2.86319882,2.827408835,0.19326592,0.136001944
06/01/2021,Maritimes,WC+GM+TRU,77034303816,AO MANUF.,0.006,136160.8515,137454.3016,39259.46642,42018.87429,50.10597935,50.10597935,1931.943404,1951.269996,2.483824977,2.340665036,2.483824977,2.383613018,1.832447245,2.154557112,0,0.136001944
06/01/2021,Maritimes,WC+GM+TRU,5700000060,G,-0.02,125160.487,80632.25032,35604.75361,23431.51609,46.34481291,37.91848329,1908.563659,1497.077896,2.471723355,2.415547824,2.478745296,2.457679472,1.579936804,1.593980686,0.007021941,0.035109707
06/01/2021,Maritimes,WC+GM+TRU,5700000913,G,-0.02,124449.1643,111810.3721,42677.95513,37907.95037,61.09088974,63.19747214,1428.965065,1249.203366,2.050406874,2.071472698,2.078494639,2.071472698,1.92401193,1.362256622,0.140438827,0
06/01/2021,Maritimes,WC+GM+TRU,5620078067,A,0.002,119570.7823,96873.15566,27842.10827,22234.42474,65.43645388,62.49548966,1342.550166,1145.505563,3.154184125,3.205650999,3.521804653,3.536509474,2.904202167,2.955669041,0.433792222,0.426439812
06/01/2021,Maritimes,WC+GM+TRU,5972100003,B,-0.003,113873.5423,121693.1907,36423.76731,40548.64949,67.69037424,67.69037424,1187.401981,1274.130273,2.206988243,2.115324195,2.369163098,2.270447969,1.974302582,1.946098259,0.296145387,0.338451871
06/01/2021,Maritimes,WC+GM+TRU,5620080506,A,0.002,91387.96918,80935.52354,12686.47264,10846.29957,58.34873011,56.89001186,1143.63511,1040.795473,5.25138571,5.441019083,5.637946047,5.76923069,4.514732993,4.726247139,0.247982103,0.23339492
06/01/2021,Maritimes,WC+GM+TRU,62287170111,G,-0.02,59441.66604,62588.79903,11550.63288,12231.88478,61.2987392,61.2987392,677.7690141,708.4183837,3.587369397,3.566472099,3.712753181,3.594335162,3.057971194,3.037073897,0.132349551,0.041794595
06/01/2021,Maritimes,WC+GM+TRU,62178703643,L,0.002,47822.1113,36619.60302,6029.790397,4583.260442,22.53600709,19.7190062,1494.41897,1329.624418,5.584704257,5.62695927,5.598789262,5.655129279,5.260749155,4.091693787,0.028170009,0.014085004
06/01/2021,Maritimes,WC+GM+TRU,5620083923,A,0.002,48414.19484,44869.28559,11534.76497,10323.17641,55.97612779,58.92223978,636.3601896,561.2343339,3.093417589,3.203896788,3.520603827,3.601621907,2.879824469,2.946111989,0.493473758,0.449282078
06/01/2021,Maritimes,WC+GM+TRU,5700000925,G,-0.02,42813.15166,54277.54351,5189.15319,6233.033268,29.54377579,42.20539398,1017.149995,900.3817383,5.803241673,6.12681636,5.901720925,6.12681636,3.397534216,3.756280065,0.028136929,0
06/01/2021,Maritimes,WC+GM+TRU,5900000624,AO MANUF.,0.006,40721.41817,59931.97486,12004.89493,18264.04723,35.8526309,49.47663064,809.5524057,864.7654572,2.430808375,2.351932587,2.466661006,2.373444165,1.477128393,1.240501029,0.021511579,0.014341052
06/01/2021,Maritimes,WC+GM+TRU,6840000131,AO MANUF.,0.006,40559.36428,0,9979.221284,0,42.30610446,0,690.5216711,0,2.911233629,0,3.305612569,0,2.337591535,0,0.293991573,0
06/01/2021,Maritimes,WC+GM+TRU,5620093161,A,0.002,41557.85572,55403.10901,10921.97367,14684.89521,37.56292786,55.2395998,808.707741,741.6836932,2.79880639,2.77671055,2.887189749,2.865093909,2.393715991,2.541021591,0.12520976,0.198862559
06/01/2021,Maritimes,WC+GM+TRU,14973377000,E,0.006,40513.03566,32913.11656,7199.652275,5666.277177,52.97649094,52.24070634,562.8752162,461.3369419,4.142467277,4.274908505,4.385276194,4.444138962,3.642133752,3.804006363,0.242808917,0.198661841
06/01/2021,Maritimes,WC+GM+TRU,5700003603,G,-0.02,31903.86555,30446.63358,10382.33067,9885.140573,50.79208139,54.36898853,449.9749182,399.8982183,2.196220984,2.203374798,2.217682427,2.224836241,2.103221398,1.366378528,0.107307214,0.014307629
06/01/2021,Maritimes,WC+GM+TRU,5620078068,A,0.002,32833.81269,34080.23018,7930.930528,8033.550238,55.42962402,57.67677094,444.1860411,439.6917473,3.101062749,3.175967646,3.453115767,3.513039684,2.913800506,2.943762465,0.486881833,0.441938894
06/01/2021,Maritimes,WC+GM+TRU,5620081879,A,0.002,31478.03405,49693.40698,4403.658914,6689.75638,35.20530174,51.68437915,667.4026351,719.8360633,5.355700159,5.565433871,5.655319748,5.932467868,4.179693271,4.831365877,0.149809795,0.247186161
