Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
02/01/2021,Maritimes,GB+DR+MM,000006022940860,AO MANUF.,0.014,547382.1871,491482.8995,172403.7696,154066.1902,84.57216936,87.48845107,6257.368439,5487.47007,3.091258604,3.100979543,3.110700482,3.100979543,2.887118885,3.149584238,0.087488451,0.048604695
02/01/2021,Maritimes,GB+DR+MM,000005677925176,AO MANUF.,0.014,326673.1274,281794.4683,72798.16804,63923.92282,69.01866695,67.07447915,4590.227399,4083.766477,4.364701614,4.286934102,4.520236638,4.364701614,3.868933725,3.907817481,0.233302536,0.165255963
02/01/2021,Maritimes,GB+DR+MM,000004150080502,A,-0.002,302779.719,291567.033,71617.30017,67872.23367,93.96925875,93.96925875,3138.181704,3023.65667,4.140520464,4.209039715,4.600578293,4.590789828,3.797924208,3.895808852,0.557942474,0.548154009
02/01/2021,Maritimes,GB+DR+MM,000005700000940,G,0.013,296343.518,308376.6601,62414.12469,63289.70898,94.33904823,94.33904823,3074.863353,3196.717957,4.667817491,4.785741301,5.001934953,4.903665111,4.107679392,4.137160344,0.373425399,0.147404763
02/01/2021,Maritimes,GB+DR+MM,000005700000912,G,0.013,284703.4552,194369.8857,65972.47567,43431.33933,88.44285772,86.47746088,3154.461925,2203.209856,4.245257171,4.402488918,4.697298443,4.520412728,3.871831771,4.117506376,0.540484131,0.294809526
02/01/2021,Maritimes,GB+DR+MM,000002100002685,AO MANUF.,0.014,238190.7429,232790.8736,52631.77481,51501.68387,55.03051568,54.0478279,4261.916902,4231.453581,4.451575644,4.441748766,4.461402522,4.471229399,2.957890218,2.446892572,0.009826878,0.009826878
02/01/2021,Maritimes,GB+DR+MM,000005677925177,AO MANUF.,0.014,225240.8834,204838.3197,50331.30272,46639.34473,67.80545682,67.80545682,3266.454181,2975.578598,4.402441255,4.313999355,4.569498177,4.412268133,3.93075112,3.881616731,0.265325701,0.186710678
02/01/2021,Maritimes,GB+DR+MM,000077034303816,AO MANUF.,0.014,186928.8349,188704.5517,53897.47667,57685.73807,68.7881446,68.7881446,2652.274318,2678.806888,3.409926597,3.213389041,3.409926597,3.272350308,2.515680717,2.957890218,0,0.186710678
02/01/2021,Maritimes,GB+DR+MM,000005700000060,G,0.013,175158.1316,112842.2768,49827.72334,32791.66355,64.85809566,53.06571463,2670.974303,2095.11303,3.459098435,3.380482562,3.468925419,3.439444467,2.211071443,2.230725411,0.009826984,0.049134921
02/01/2021,Maritimes,GB+DR+MM,000005700000913,G,0.013,174162.6581,156475.0693,59726.44452,53050.97416,85.49476246,88.44285772,1999.791283,1748.220488,2.869479384,2.898960336,2.908787321,2.898960336,2.692593668,1.906434933,0.196539684,0
02/01/2021,Maritimes,GB+DR+MM,000005620078067,A,-0.002,158232.7127,128196.0519,36844.55545,29423.68758,86.59462963,82.70273616,1776.649367,1515.892505,4.174055743,4.242163878,4.660542426,4.680001893,3.843244798,3.911352934,0.574054286,0.564324553
02/01/2021,Maritimes,GB+DR+MM,000005972100003,B,0.004,155879.9055,166584.1133,49859.98761,55506.48136,92.66041022,92.66041022,1625.418029,1744.13918,3.021115458,2.895637819,3.243114358,3.107984593,2.702595298,2.663986794,0.405389295,0.463302051
02/01/2021,Maritimes,GB+DR+MM,000005620080506,A,-0.002,120937.2891,107105.1573,16788.50755,14353.33424,77.21516638,75.28478722,1513.417261,1377.32553,6.949364974,7.200314265,7.460915451,7.634649575,5.974523498,6.254428476,0.328164457,0.308860666
02/01/2021,Maritimes,GB+DR+MM,000062287170111,G,0.013,83186.7262,87591.03901,16164.74434,17118.13477,85.78564119,85.78564119,948.5162373,991.4090579,5.020409684,4.991164579,5.195880313,5.030158052,4.279533691,4.250288586,0.185218998,0.05849021
02/01/2021,Maritimes,GB+DR+MM,000062178703643,L,0.013,66180.46847,50677.44643,8344.557412,6342.721284,31.18732039,27.28890534,2068.109183,1840.051903,7.728607834,7.78708406,7.748099909,7.82606821,7.280290103,5.662447858,0.03898415,0.019492075
02/01/2021,Maritimes,GB+DR+MM,000005620083923,A,-0.002,64068.40565,59377.288,15264.40754,13661.06482,74.07540853,77.97411425,842.1204339,742.7034382,4.093640998,4.239842462,4.658953326,4.766167733,3.810984834,3.898705712,0.653033207,0.594552621
02/01/2021,Maritimes,GB+DR+MM,000005700000925,G,0.013,59915.64777,75959.70053,7262.055296,8722.932355,41.34557713,59.06511018,1423.469155,1260.055684,8.12145265,8.574285161,8.25927124,8.574285161,4.754741369,5.256794806,0.03937674,0
02/01/2021,Maritimes,GB+DR+MM,000005900000624,AO MANUF.,0.014,55904.52154,82277.79212,16480.95615,25073.85223,49.22039227,67.92414133,1111.396457,1187.195861,3.337142596,3.228857733,3.386362988,3.258389968,2.027880161,1.703025572,0.029532235,0.019688157
02/01/2021,Maritimes,GB+DR+MM,000006840000131,AO MANUF.,0.014,55682.04536,0,13700.00398,0,58.08006287,0,947.984755,0,3.996695852,0,4.538120167,0,3.209169576,0,0.403607217,0
02/01/2021,Maritimes,GB+DR+MM,000005620093161,A,-0.002,54995.14278,73317.11027,14453.47675,19433.09862,49.70849783,73.10073211,1070.194718,981.4991631,3.703770427,3.674530134,3.820731598,3.791491305,3.167698391,3.362633677,0.165694993,0.263162636
02/01/2021,Maritimes,GB+DR+MM,000014973377000,E,-0.005,54684.84221,44426.40638,9718.15225,7648.38942,71.5081208,70.51495245,759.7737835,622.7165519,5.591537779,5.770308081,5.919283333,5.9987368,4.916183305,5.134680341,0.327745554,0.268155453
02/01/2021,Maritimes,GB+DR+MM,000005700003603,G,0.013,44648.44788,42609.09796,14529.74245,13833.94069,71.08190684,76.08767493,629.7256254,559.6448722,3.073541606,3.083553142,3.103576214,3.113587751,2.943391636,1.912203409,0.150173043,0.020023072
02/01/2021,Maritimes,GB+DR+MM,000005620078068,A,-0.002,43450.27398,45099.7072,10495.31188,10631.11257,73.35219862,76.32593641,587.8088349,581.8613594,4.103758139,4.202882732,4.569643725,4.648943399,3.855946657,3.895596494,0.644309853,0.584835097
02/01/2021,Maritimes,GB+DR+MM,000005620081879,A,-0.002,41656.11885,65761.23731,5827.534807,8852.817377,46.58855859,68.39596899,883.2001213,952.5873362,7.087408381,7.36495724,7.483906751,7.850667745,5.531152275,6.393536231,0.198249185,0.327111156
02/01/2021,Maritimes,GB+DR+MM,000005700000677,G,0.013,40982.22333,42816.33676,7036.107624,7405.533309,75.08652131,80.0922894,548.6321824,534.6160318,5.826714054,5.786667909,5.956864024,5.956864024,4.945698871,4.975733479,0.13014997,0.170196115
02/01/2021,Maritimes,GB+DR+MM,000005620099629,A,-0.002,37411.60379,31310.48511,9270.131913,7225.191564,44.60606673,53.52728008,836.6115627,582.8526053,4.004633546,4.292094865,4.480431592,4.658855859,3.796471902,3.994721087,0.693872149,0.54518526
02/01/2021,Maritimes,GB+DR+MM,000006810000313,AO MANUF.,0.014,36264.39487,44785.12106,10520.00832,12648.43787,64.07313784,65.07428061,565.64567,685.7828034,3.453942586,3.544045437,3.93449112,3.794331131,3.143588325,3.103542614,0.610697095,0.3604114
02/01/2021,Maritimes,GB+DR+MM,000005700000898,G,0.013,35844.30297,32102.9919,3875.465653,3579.124183,37.04268385,29.03345491,974.1224699,1118.288591,9.260670962,8.980347949,9.260670962,8.980347949,0,4.595295104,0,0
02/01/2021,Maritimes,GB+DR+MM,000069567600303,AO MANUF.,0.014,29974.21479,23755.11585,6138.006376,4823.505908,62.07085228,59.06742394,482.5508193,405.4628254,4.88557676,4.925622471,5.33609101,5.15588531,3.75428542,3.814353987,0.280319978,0.160182845
02/01/2021,Maritimes,GB+DR+MM,000006720000204,AO MANUF.,0.014,27557.45613,27105.94073,7835.944529,8178.335359,34.03885448,35.03999725,801.9153657,776.8867963,3.524022581,3.313782597,3.534034009,3.453942586,1.982262702,3.023451192,0.010011428,0.310354261
02/01/2021,Maritimes,GB+DR+MM,000006810004768,AO MANUF.,0.014,26922.7316,30521.83989,5902.737823,7040.03602,34.03885448,34.03885448,782.8936529,907.0353575,4.565211071,4.344959659,4.675336776,4.585233926,2.98340548,4.064639681,0.060068567,0.470537106
02/01/2021,Maritimes,GB+DR+MM,000005620094201,A,-0.002,25826.91264,31506.7518,6563.039285,7562.21518,51.54478822,72.3609527,492.6492259,432.1832243,3.905508954,4.133495517,4.331744703,4.579556184,3.736997146,3.855946657,0.713697068,0.614572475
02/01/2021,Maritimes,GB+DR+MM,000069567600801,AO MANUF.,0.014,25900.56483,0,8671.898749,0,37.04228281,0,697.7965167,0,2.993416908,0,2.993416908,0,2.022308413,0,0.010011428,0
02/01/2021,Maritimes,GB+DR+MM,000005700000953,G,0.013,24451.1748,54917.28054,6108.038221,13299.32466,17.0196115,42.04845194,1424.641598,1310.510085,4.00461447,4.13476444,4.264914411,4.355018236,2.332687929,3.654210704,0.13014997,0.310357621
02/01/2021,Maritimes,GB+DR+MM,000005620077378,A,-0.002,24052.58243,22074.05556,5786.893724,5168.356265,60.46600157,60.46600157,393.5246332,361.8047635,4.123583058,4.23262011,4.629118481,4.757980451,3.865859117,3.925333872,0.664134771,0.624484934
02/01/2021,Maritimes,GB+DR+MM,000005835300200,F,0.023,24025.87111,23092.70623,5081.374361,5187.605183,31.24435967,34.36879563,806.1044794,698.8321779,4.926194041,4.634580017,5.072001053,4.697068737,4.124255476,4.478358219,0.166636585,0.281199237
02/01/2021,Maritimes,GB+DR+MM,000004150082085,A,-0.002,23255.84373,26114.94392,6004.720016,6163.22024,53.849435,69.08984114,438.9236966,381.0101533,3.932024782,4.3079548,4.480679403,4.83628888,3.738979638,3.962505595,0.751860036,0.619776516
02/01/2021,Maritimes,GB+DR+MM,000065527300063,D,0.003,22661.69042,11099.7324,3831.524019,1752.035165,60.01562766,28.42845521,394.8396557,408.5274304,6.222672973,6.675422445,6.86494548,6.843887365,5.443522719,5.991033709,0.473807587,0.21058115
02/01/2021,Maritimes,GB+DR+MM,000011210000155,B,0.004,21277.60712,9239.519533,3372.155437,1676.241834,27.95461983,10.3535629,774.446505,896.6185472,6.533098191,5.704813159,6.615926694,5.984359357,5.10430651,4.949003067,0.062121377,0.279546198
