Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
02/01/2021,Maritimes,WC+GM+TRU,000006022940860,AO MANUF.,0.014,394115.1747,353867.6876,124130.7141,110927.657,60.89196194,62.99168477,4505.305276,3950.97845,2.225706195,2.232705271,2.239704347,2.232705271,2.078725597,2.267700652,0.062991685,0.03499538
02/01/2021,Maritimes,WC+GM+TRU,000005677925176,AO MANUF.,0.014,235204.6518,202892.0172,52414.68099,46025.22443,49.69344021,48.29362499,3304.963727,2940.311863,3.142585162,3.086592554,3.25457038,3.142585162,2.785632282,2.813628586,0.167977826,0.118984293
02/01/2021,Maritimes,WC+GM+TRU,000004150080502,A,-0.002,218001.3977,209928.2637,51564.45612,48868.00824,67.6578663,67.6578663,2259.490827,2177.032802,2.981174734,3.030508595,3.312416371,3.305368676,2.73450543,2.804982374,0.401718581,0.394670887
02/01/2021,Maritimes,WC+GM+TRU,000005700000940,G,0.013,213367.3329,222031.1953,44938.16978,45568.59047,67.92411473,67.92411473,2213.901614,2301.636929,3.360828593,3.445733737,3.601393166,3.53063888,2.957529162,2.978755448,0.268866287,0.106131429
02/01/2021,Maritimes,WC+GM+TRU,000005700000912,G,0.013,204986.4877,139946.3177,47500.18248,31270.56432,63.67885756,62.26377183,2271.212586,1586.311096,3.056585163,3.169792021,3.382054879,3.254697164,2.787718875,2.964604591,0.389148574,0.212262859
02/01/2021,Maritimes,WC+GM+TRU,000002100002685,AO MANUF.,0.014,171497.3349,167609.429,37894.87787,37081.21238,39.62197129,38.91443609,3068.58017,3046.646578,3.205134463,3.198059111,3.212209815,3.219285168,2.129680957,1.761762652,0.007075352,0.007075352
02/01/2021,Maritimes,WC+GM+TRU,000005677925177,AO MANUF.,0.014,162173.436,147483.5902,36238.53796,33580.32821,48.81992891,48.81992891,2351.84701,2142.416591,3.169757703,3.106079535,3.290038688,3.176833055,2.830140807,2.794764047,0.191034504,0.134431688
02/01/2021,Maritimes,WC+GM+TRU,000077034303816,AO MANUF.,0.014,134588.7611,135867.2772,38806.1832,41533.73141,49.52746412,49.52746412,1909.637509,1928.74096,2.45514715,2.313640109,2.45514715,2.356092221,1.811290116,2.129680957,0,0.134431688
02/01/2021,Maritimes,WC+GM+TRU,000005700000060,G,0.013,126113.8548,81246.43927,35875.96081,23609.99775,46.69782888,38.20731454,1923.101498,1508.481381,2.490550873,2.433947444,2.497626302,2.476400016,1.591971439,1.606122296,0.007075429,0.035377143
02/01/2021,Maritimes,WC+GM+TRU,000005700000913,G,0.013,125397.1138,112662.0499,43003.04005,38196.70139,61.55622897,63.67885756,1439.849724,1258.718751,2.066025156,2.087251442,2.094326871,2.087251442,1.938667441,1.372633152,0.141508572,0
02/01/2021,Maritimes,WC+GM+TRU,000005620078067,A,-0.002,113927.5531,92301.15734,26528.07992,21185.05506,62.34813333,59.54597004,1279.187545,1091.442604,3.005320135,3.054357993,3.355590547,3.369601363,2.767136255,2.816174112,0.413319086,0.406313678
02/01/2021,Maritimes,WC+GM+TRU,000005972100003,B,0.004,112233.532,119940.5616,35899.19108,39964.66658,66.71549536,66.71549536,1170.300981,1255.780209,2.17520313,2.08485923,2.335042338,2.237748907,1.945868615,1.918070492,0.291880292,0.333577477
02/01/2021,Maritimes,WC+GM+TRU,000005620080506,A,-0.002,87074.84818,77115.71324,12087.72544,10334.40065,55.59491979,54.2050468,1089.660428,991.6743818,5.003542781,5.18422627,5.371859125,5.496947694,4.301656919,4.503188503,0.236278409,0.222379679
02/01/2021,Maritimes,WC+GM+TRU,000062287170111,G,0.013,59894.44286,63065.54809,11638.61593,12325.05703,61.76566166,61.76566166,682.9316909,713.8145217,3.614694972,3.593638497,3.741033826,3.621713797,3.081264258,3.060207782,0.133357679,0.042112951
02/01/2021,Maritimes,WC+GM+TRU,000062178703643,L,0.013,47649.9373,36487.76143,6008.081336,4566.759325,22.45487068,19.64801185,1489.038612,1324.83737,5.56459764,5.606700523,5.578631935,5.634769111,5.241808874,4.076962458,0.028068588,0.014034294
02/01/2021,Maritimes,WC+GM+TRU,000005620083923,A,-0.002,46129.25207,42751.64736,10990.37343,9835.966667,53.33429414,56.14136226,606.3267124,534.7464755,2.947421518,3.052686573,3.354446395,3.431640768,2.74390908,2.807068113,0.470183909,0.428077887
