Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
11/01/2021,Maritimes,GB+DR+MM,6022940860,AO MANUF.,0.009,584317.7568,530999.4444,186265.4956,166453.5256,91.37199888,94.52275747,6760.477665,5928.677399,3.339804097,3.350306626,3.360809154,3.350306626,3.119250996,3.402819269,0.094522757,0.052512643
11/01/2021,Maritimes,GB+DR+MM,5677925176,AO MANUF.,0.009,352938.5241,304451.5003,78651.33623,69063.57787,74.56795311,72.46744739,4959.294008,4412.112268,4.715635345,4.631615116,4.883675802,4.715635345,4.180006386,4.2220165,0.252060687,0.178542986
11/01/2021,Maritimes,GB+DR+MM,4150080502,A,0.014,342797.8381,330103.1816,81082.89336,76842.84484,106.3890899,106.3890899,3552.952315,3423.290612,4.687769274,4.765344652,5.208632526,5.19755033,4.299892384,4.410714352,0.631685221,0.620603024
11/01/2021,Maritimes,GB+DR+MM,5700000940,G,-0.006,310994.7803,323622.8426,65499.88719,66418.76048,99.00318313,99.00318313,3226.885,3354.764112,4.898594999,5.022348978,5.249231272,5.146102957,4.310763599,4.341702094,0.3918876,0.154692474
11/01/2021,Maritimes,GB+DR+MM,5700000912,G,-0.006,298779.2313,203979.5583,69234.1635,45578.59043,92.81548419,90.75291787,3310.418936,2312.136839,4.455143241,4.620148546,4.929533493,4.743902525,4.063255641,4.32107643,0.567205737,0.309384947
11/01/2021,Maritimes,GB+DR+MM,2100002685,AO MANUF.,0.009,257341.9183,251507.8849,56863.51084,55642.55755,59.45511692,58.3934184,4604.586466,4571.673812,4.809494279,4.798877294,4.820111264,4.83072825,3.195712534,2.643629306,0.010616985,0.010616985
11/01/2021,Maritimes,GB+DR+MM,5677925177,AO MANUF.,0.009,243350.8552,221307.8706,54378.07461,50389.27329,73.25719763,73.25719763,3529.085869,3214.823108,4.756409353,4.660856487,4.936898101,4.767026339,4.246794066,4.19370914,0.286658599,0.201722718
11/01/2021,Maritimes,GB+DR+MM,77034303816,AO MANUF.,0.009,201958.4152,203876.9044,58230.97853,62323.82631,74.31889615,74.31889615,2865.524296,2894.190156,3.684093852,3.471754149,3.684093852,3.53545606,2.717948202,3.195712534,0,0.201722718
11/01/2021,Maritimes,GB+DR+MM,5700000060,G,-0.006,183817.9726,118421.2137,52291.21251,34412.88769,68.0646884,55.68929051,2803.027622,2198.695692,3.630116715,3.547614062,3.640429546,3.609491052,2.320387105,2.341012768,0.010312832,0.051564158
11/01/2021,Maritimes,GB+DR+MM,5700000913,G,-0.006,182773.2827,164211.2172,62679.32775,55673.82126,89.72163471,92.81548419,2098.661226,1834.652737,3.01134682,3.042285315,3.052598147,3.042285315,2.825715852,2.000689326,0.206256632,0
