Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
11/01/2021,Maritimes,WC+GM+TRU,6022940860,AO MANUF.,0.009,462550.3655,419078.3612,147005.4997,131369.3856,72.1131217,74.59978107,5335.542119,4679.064046,2.635858931,2.644147796,2.65243666,2.644147796,2.461792775,2.685592119,0.074599781,0.041444323
11/01/2021,Maritimes,WC+GM+TRU,5677925176,AO MANUF.,0.009,278548.1225,240280.9215,62073.64894,54506.74448,58.8509384,57.19316549,3914.001847,3482.152003,3.721700189,3.655389272,3.854322022,3.721700189,3.298968096,3.332123554,0.19893275,0.140910698
11/01/2021,Maritimes,WC+GM+TRU,4150080502,A,0.014,270544.8334,260525.8854,63992.6961,60646.34122,83.96499454,83.96499454,2804.080964,2701.748627,3.699707572,3.760932047,4.110786191,4.102039838,3.393585196,3.481048732,0.498542155,0.489795802
11/01/2021,Maritimes,WC+GM+TRU,5700000940,G,-0.006,245445.0457,255411.4358,51694.18853,52419.38686,78.13584776,78.13584776,2546.740288,2647.665758,3.866096634,3.963766443,4.142827761,4.061436253,3.402165038,3.42658249,0.309287731,0.122087262
11/01/2021,Maritimes,WC+GM+TRU,5700000912,G,-0.006,235804.2215,160985.8917,54641.37503,35971.79091,73.25235727,71.62452711,2612.667409,1824.797611,3.516113149,3.646339562,3.890514086,3.744009372,3.206825418,3.410304189,0.447653294,0.244174524
11/01/2021,Maritimes,WC+GM+TRU,2100002685,AO MANUF.,0.009,203100.8329,198496.4643,44878.13912,43914.53151,46.92350101,46.08558135,3634.057569,3608.08206,3.795776064,3.787396867,3.804155261,3.812534457,2.522138179,2.086419956,0.008379197,0.008379197
11/01/2021,Maritimes,WC+GM+TRU,5677925177,AO MANUF.,0.009,192058.7276,174661.8396,42916.56919,39768.50503,57.8164566,57.8164566,2785.244953,2537.220733,3.753880081,3.678467311,3.896326423,3.762259278,3.351678644,3.309782661,0.226238308,0.159204736
11/01/2021,Maritimes,WC+GM+TRU,77034303816,AO MANUF.,0.009,159390.7537,160904.8746,45957.37964,49187.55994,58.65437627,58.65437627,2261.545165,2284.168996,2.907581223,2.739997291,2.907581223,2.790272471,2.145074332,2.522138179,0,0.159204736
11/01/2021,Maritimes,WC+GM+TRU,5700000060,G,-0.006,145073.8518,93461.05481,41269.56417,27159.53233,53.71839533,43.95141436,2212.22119,1735.266952,2.864981084,2.799867878,2.873120235,2.848702783,1.831308932,1.847587233,0.008139151,0.040695754
11/01/2021,Maritimes,WC+GM+TRU,5700000913,G,-0.006,144249.3559,129599.6983,49468.13078,43939.20564,70.81061203,73.25235727,1656.317189,1447.954929,2.376632036,2.401049488,2.409188639,2.401049488,2.230127321,1.578995257,0.162783016,0
11/01/2021,Maritimes,WC+GM+TRU,5620078067,A,0.014,141386.7581,114547.8951,32921.96766,26291.14883,77.37549174,73.89794155,1587.501662,1354.505799,3.729672579,3.790529708,4.164366353,4.181754104,3.434080813,3.494937942,0.512938653,0.504244778
