Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
10/01/2021,Maritimes,GB+DR+MM,6022940860,AO MANUF.,0.013,543761.3188,494143.734,173337.1447,154900.2877,85.03003381,87.96210394,6291.245145,5517.178631,3.107994339,3.117767906,3.127541474,3.117767906,2.90274943,3.166635742,0.087962104,0.048867836
10/01/2021,Maritimes,GB+DR+MM,5677925176,AO MANUF.,0.013,328441.6999,283320.0727,73192.28933,64269.99992,69.39232644,67.43761302,4615.078387,4105.875541,4.38833163,4.310143093,4.544708704,4.38833163,3.889879708,3.928973976,0.234565611,0.166150641
10/01/2021,Maritimes,GB+DR+MM,4150080502,A,0.012,317431.8583,305676.5671,75083.01003,71156.71199,98.51662629,98.51662629,3290.044832,3169.977694,4.340888846,4.412723886,4.823209829,4.81294768,3.981713646,4.084335132,0.584942469,0.57468032
10/01/2021,Maritimes,GB+DR+MM,5700000940,G,0.016,293776.5374,305705.4464,61873.48239,62741.48221,93.52186653,93.52186653,3048.228337,3169.027415,4.627384021,4.744286354,4.958607299,4.861188688,4.072097939,4.101323522,0.370190722,0.146127916
10/01/2021,Maritimes,GB+DR+MM,5700000912,G,0.016,282237.303,192686.219,65401.01029,43055.12931,87.67674988,85.72837766,3127.137412,2184.125258,4.208483994,4.364353772,4.656609605,4.481256105,3.838293272,4.0818398,0.53580236,0.292255833
10/01/2021,Maritimes,GB+DR+MM,2100002685,AO MANUF.,0.013,239480.2815,234051.1778,52916.71747,51780.50833,55.32844486,54.34043691,4284.990453,4254.362206,4.475675986,4.465795906,4.485556065,4.495436145,2.973903911,2.46013978,0.009880079,0.009880079
10/01/2021,Maritimes,GB+DR+MM,5677925177,AO MANUF.,0.013,226460.3128,205947.2919,50603.79087,46891.84503,68.17254813,68.17254813,3284.138406,2991.688054,4.426275589,4.337354874,4.594236939,4.436155668,3.952031776,3.902631378,0.266762145,0.187721509
10/01/2021,Maritimes,GB+DR+MM,77034303816,AO MANUF.,0.013,187940.8471,189726.1775,54189.2717,57998.04232,69.16055607,69.16055607,2666.633441,2693.309655,3.428387565,3.230785977,3.428387565,3.290066453,2.529300336,2.973903911,0,0.187721509
10/01/2021,Maritimes,GB+DR+MM,5700000060,G,0.016,173640.8806,111864.8168,49396.10669,32507.6163,64.29628324,52.60604993,2647.837846,2076.964786,3.429135106,3.351200217,3.438876967,3.409651384,2.191918747,2.211402469,0.009741861,0.048709305
10/01/2021,Maritimes,GB+DR+MM,5700000913,G,0.016,172654.03,155119.6543,59209.08338,52591.43713,84.75419155,87.67674988,1982.468733,1733.077089,2.84462344,2.873849024,2.883590885,2.873849024,2.669269941,1.889921053,0.194837222,0
