Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
04/01/2021,Ontario,GB+DR+MM,5700000912,G,-0.009495,2918793.656,2613639.77,707160.44,616897.4218,87.63312115,87.63312115,30109.6563,26951.25021,3.731183406,3.830561172,3.848629857,3.911870253,3.414981422,3.496290503,0.243927244,0.180686848
04/01/2021,Ontario,GB+DR+MM,4150080502,A,0.026375,3001941.509,2854370.352,773221.3913,717993.1221,92.05344195,93.00244651,30798.99387,29261.60649,3.682137678,3.777038134,4.137659865,4.232560321,3.359476129,3.54927704,0.550422643,0.635833053
04/01/2021,Ontario,GB+DR+MM,5700000940,G,-0.009495,2245049.441,2348215.307,509831.4301,522966.4605,87.63312115,87.63312115,23181.21913,24271.66425,3.97511065,4.056419731,4.155797498,4.20096921,3.496290503,3.5595309,0.243927244,0.198755532
04/01/2021,Ontario,GB+DR+MM,5620078067,A,0.026375,1648881.181,1411958.398,419039.6048,357616.2339,87.30841917,86.35941461,17904.86896,15547.54164,3.729587906,3.748567997,4.185110093,4.137659865,3.387946266,3.530296949,0.540932597,0.607362916
04/01/2021,Ontario,GB+DR+MM,5620080506,A,0.026375,1239624.864,1221515.011,170075.8515,167135.8354,79.71638272,80.66538728,14800.67506,14370.77599,6.918243215,6.937223306,7.032123761,6.994163579,5.722497474,5.115134558,0.08541041,0.028470137
04/01/2021,Ontario,GB+DR+MM,5972100003,B,-0.01266,1022845.796,994094.4231,351585.5955,347282.3605,86.26034254,86.26034254,10550.44025,10295.21635,2.587810276,2.543346182,2.658952827,2.63227437,2.427739538,2.356596987,0.266784565,0.275677383
04/01/2021,Ontario,GB+DR+MM,5700000060,G,-0.009495,961131.1628,699917.6077,273235.5546,202511.1086,65.04726518,57.81979127,13285.00048,10989.37408,3.18008852,3.125882466,3.18008852,3.171054178,1.996589667,2.719337058,0,0.099377766
04/01/2021,Ontario,GB+DR+MM,5835300200,F,0.026375,660548.4538,586594.4568,129003.3027,115170.506,44.19737656,43.21521264,14772.72757,13480.19985,5.028679289,4.999214371,5.185825516,5.244755352,4.468845852,4.37062946,0.216076063,0.265184259
04/01/2021,Ontario,GB+DR+MM,14973377000,E,-0.007385,592502.7986,467997.7519,101853.7197,82887.48677,63.45682349,60.69783116,8549.197553,7115.441208,5.352445112,5.196102213,5.517984651,5.343248471,4.956989545,4.644303748,0.266702591,0.202326104
04/01/2021,Ontario,GB+DR+MM,5856201170,AO MANUF.,-0.003165,529103.0037,615062.0199,130836.3185,154098.344,58.00325834,59.81586016,8274.527322,9304.085158,3.661455683,3.616140637,3.770211792,3.752085774,3.090486108,3.008919026,0.135945137,0.172197173
04/01/2021,Ontario,GB+DR+MM,5620078068,A,0.026375,504976.7124,488539.9535,134436.9344,126064.8162,81.61439183,79.71638272,5904.706349,5829.734989,3.568257131,3.682137678,4.080719592,4.071229546,3.274065719,3.473356676,0.607362916,0.626343007
04/01/2021,Ontario,GB+DR+MM,65527300064,D,0.017935,466305.0283,299871.4769,80840.1959,51717.37252,74.88314566,47.04197612,6003.132177,6172.099275,5.539432698,5.568233908,5.913848426,5.750641571,4.838603258,4.857804065,0.336014115,0.192008066
04/01/2021,Ontario,GB+DR+MM,5700000677,G,-0.009495,426429.995,438840.4711,73779.86053,76452.21901,72.27473909,73.17817333,5305.869283,5394.405839,5.221849899,5.18571253,5.294124638,5.212815557,4.553308563,4.743029753,0.090343424,0.045171712
04/01/2021,Ontario,GB+DR+MM,62287170111,G,-0.009495,422685.2601,433794.7909,82374.23044,82979.53138,67.7575679,65.95069942,5669.953282,5963.569409,4.634617644,4.724961068,4.788201465,4.73399541,3.857664199,4.282278291,0.153583821,0.027103027
04/01/2021,Ontario,GB+DR+MM,65527300063,D,0.017935,437181.2449,291601.6895,75817.2649,50476.04038,74.88314566,46.08193579,5587.434715,6014.652661,5.539432698,5.549033101,5.89464762,5.741041167,4.819402451,4.857804065,0.316813309,0.211208872
04/01/2021,Ontario,GB+DR+MM,6310062190,AO MANUF.,-0.003165,399369.6534,384175.5186,69185.19898,67636.33073,48.03394831,47.1276474,7573.956718,7352.819295,5.22935626,5.147789178,5.265608296,5.22029325,2.909225926,3.326124345,0.009063009,0.036252036
04/01/2021,Ontario,GB+DR+MM,5700000925,G,-0.009495,365277.4348,383974.0064,56436.63345,59407.12523,26.19959292,25.29615868,12714.03004,13660.82912,5.845219524,5.836185182,5.854253866,5.854253866,3.767320775,4.300346976,0,0.009034342
04/01/2021,Ontario,GB+DR+MM,5700000913,G,-0.009495,362183.1725,299226.4542,124946.7621,101635.4484,32.52363259,26.19959292,10086.84327,10172.66953,2.619959292,2.656096662,2.628993634,2.656096662,2.258585597,2.619959292,0.03613737,0.009034342
04/01/2021,Ontario,GB+DR+MM,5620081879,A,0.026375,348415.6348,374061.5339,47486.28998,51535.69242,43.65420958,47.45022781,7515.16708,7497.135994,6.965693442,6.889773078,7.060593898,6.984673534,5.124624603,4.583692006,0.047450228,0.037960182
04/01/2021,Ontario,GB+DR+MM,5527083945,C,0.005275,312096.6934,258898.1167,163511.4207,135210.7949,43.27726389,41.47404456,6542.981334,5663.010302,1.722074459,1.722074459,1.830267619,1.812235425,1.541752526,1.523720333,0.342611672,0.261466803
04/01/2021,Ontario,GB+DR+MM,69567600801,AO MANUF.,-0.003165,293729.4065,58677.54622,98978.02885,20484.2132,38.06463828,7.250407292,6967.641408,7209.623751,2.691713707,2.592020607,2.718902735,2.709839725,1.794475805,1.912294923,0.027189027,0.135945137
04/01/2021,Ontario,GB+DR+MM,5620093161,A,0.026375,287533.1965,381918.3426,75499.95548,101031.9741,41.75620047,44.60321414,6472.211073,8076.977778,3.615707359,3.587237222,3.739077951,3.767548088,3.093754853,3.141205081,0.180310866,0.275211321
04/01/2021,Ontario,GB+DR+MM,5527083951,C,0.005275,263970.5727,252906.0189,78085.7082,76612.47801,56.80140885,54.99818953,4196.992988,4123.060995,3.047440666,2.975311892,3.137601632,3.083505052,2.668764607,2.641716317,0.171305836,0.216386319
04/01/2021,Ontario,GB+DR+MM,5527083949,C,0.005275,249708.911,244934.8879,83431.3519,80483.0883,55.89979919,55.89979919,3999.540471,3975.19701,2.695812896,2.74089338,2.785973863,2.79498996,2.44336219,2.479426577,0.234418513,0.153273643
