Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
08/01/2021,Ontario,WC+GM+TRU,5700000912,G,0.00633,1771499.572,1606844.907,434756.6045,379263.6201,53.87614471,53.87614471,18511.17681,16569.41391,2.293901831,2.35499849,2.366106974,2.404986666,2.099503371,2.149491546,0.149964526,0.111084834
08/01/2021,Ontario,WC+GM+TRU,4150080502,A,0.01055,1897251.527,1803985.351,488682.2281,453777.5113,58.17852639,58.77830501,19465.21542,18493.57405,2.327141055,2.387118918,2.615034794,2.675012657,2.123216324,2.243172048,0.347871601,0.401851677
08/01/2021,Ontario,WC+GM+TRU,5700000940,G,0.00633,1380238.51,1443664.063,313440.3014,321515.6135,53.87614471,53.87614471,14251.62883,14922.02581,2.443866358,2.493854533,2.554951192,2.582722401,2.149491546,2.188371239,0.149964526,0.122193318
08/01/2021,Ontario,WC+GM+TRU,5620078067,A,0.01055,1042106.36,892369.2277,264836.4492,226016.3777,55.17963327,54.57985465,11316.02327,9826.173173,2.357129987,2.369125559,2.645023725,2.615034794,2.141209682,2.231176476,0.341873815,0.383858318
08/01/2021,Ontario,WC+GM+TRU,5620080506,A,0.01055,783453.0286,772007.4531,107489.3258,105631.2117,50.38140429,50.98118292,9354.147397,9082.447681,4.372386158,4.384381731,4.444359593,4.420368448,3.616665094,3.232806775,0.053980076,0.017993359
08/01/2021,Ontario,WC+GM+TRU,5972100003,B,0.015825,651827.7003,633505.348,224054.5263,221312.2089,54.97102393,54.97102393,6723.466267,6560.820042,1.649130718,1.620795139,1.694467645,1.677466297,1.547122632,1.501785705,0.170013476,0.175680592
08/01/2021,Ontario,WC+GM+TRU,5700000060,G,0.00633,590895.7816,430303.7689,167983.0421,124502.2162,39.9905404,35.54714702,8167.512452,6756.179631,1.955093086,1.921767636,1.955093086,1.949538844,1.227487421,1.671826758,0,0.061096659
08/01/2021,Ontario,WC+GM+TRU,5835300200,F,0.009495,431524.7211,383211.8717,84275.59537,75238.87187,28.87337103,28.23174056,9650.76386,8806.378165,3.285147993,3.265899079,3.387808868,3.426306696,2.919418627,2.85525558,0.141158703,0.173240226
08/01/2021,Ontario,WC+GM+TRU,14973377000,E,0.003165,376429.5169,297328.8363,64709.81501,52660.16747,40.31545752,38.56261154,5431.485408,4520.58978,3.4005212,3.301193261,3.505691958,3.39467838,3.149279943,2.950624065,0.169441778,0.128542038
08/01/2021,Ontario,WC+GM+TRU,5856201170,AO MANUF.,0.01688,333298.9547,387447.2964,82417.99401,97071.49007,36.53811307,37.6799291,5212.390192,5860.941699,2.306468387,2.277922986,2.374977349,2.363559189,1.946796337,1.895414615,0.085636202,0.108472523
