Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
12/01/2021,Ontario,WC+GM+TRU,5700000912,G,0.00633,2375174.697,2154410.55,582908.9112,508505.5443,72.23555553,72.23555553,24819.24325,22215.78446,3.075596333,3.157512943,3.172406872,3.224535623,2.814952576,2.881975257,0.201068041,0.14893929
12/01/2021,Ontario,WC+GM+TRU,4150080502,A,0.020045,2622271.896,2493364.754,675428.4576,627185.1665,80.41101167,81.23999117,26903.70075,25560.75396,3.216440467,3.299338417,3.614350628,3.697248578,2.934587436,3.100383337,0.480808111,0.555416266
12/01/2021,Ontario,WC+GM+TRU,5700000940,G,0.00633,1850583.335,1935622.457,420251.5682,431078.7098,72.23555553,72.23555553,19108.16618,20007.01479,3.276664375,3.343687055,3.425603664,3.462838487,2.881975257,2.934104008,0.201068041,0.163833219
12/01/2021,Ontario,WC+GM+TRU,5620078067,A,0.020045,1440339.45,1233381.401,366041.7019,312386.8326,76.26611416,75.43713466,15640.35626,13581.17118,3.257889442,3.274469032,3.655799603,3.614350628,2.959456821,3.083803746,0.472518316,0.530546881
12/01/2021,Ontario,WC+GM+TRU,5620080506,A,0.020045,1082843.697,1067024.282,148565.5614,145997.3829,69.63427815,70.46325765,12928.76431,12553.23659,6.043260568,6.059840158,6.142738108,6.109578928,4.998746396,4.468199514,0.074608155,0.024869385
12/01/2021,Ontario,WC+GM+TRU,5972100003,B,0.024265,904518.8821,879093.5839,310912.7605,307107.341,76.28139935,76.28139935,9329.922906,9104.224333,2.28844198,2.249121672,2.351354475,2.327762289,2.146888868,2.083976374,0.235921854,0.243785915
12/01/2021,Ontario,WC+GM+TRU,5700000060,G,0.00633,792255.7428,576938.6798,225226.7387,166928.9219,53.61814431,47.66057272,10950.76128,9058.487603,2.6213315,2.576649713,2.6213315,2.613884535,1.645779152,2.241536311,0,0.081916609
12/01/2021,Ontario,WC+GM+TRU,5835300200,F,0.02954,622185.2687,552526.3554,121511.0778,108481.6592,41.63049123,40.7053692,13914.76041,12697.29982,4.736624779,4.708871119,4.884644304,4.940151625,4.209305224,4.116793021,0.203526846,0.249782947
12/01/2021,Ontario,WC+GM+TRU,14973377000,E,0.02743,521321.869,411774.3634,89617.41891,72929.71379,55.83337311,53.40583515,7522.130962,6260.620402,4.709423645,4.57186316,4.855075922,4.701331851,4.361476537,4.086355568,0.234662003,0.17801945
12/01/2021,Ontario,WC+GM+TRU,5856201170,AO MANUF.,0.01688,451554.5325,524914.886,111660.1724,131512.7776,49.50195712,51.04889328,7061.763571,7940.42331,3.124811043,3.086137639,3.217627213,3.202157851,2.637526153,2.567914026,0.116020212,0.146958935
