Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
02/01/2021,Ontario,GB+DR+MM,5700000912,G,0.003165,2970898.212,2660296.902,719784.2447,627909.9052,89.19749515,89.19749515,30647.15586,27432.36779,3.797790258,3.898942056,3.917333292,3.981702619,3.475943626,3.558704188,0.248281688,0.183912361
02/01/2021,Ontario,GB+DR+MM,4150080502,A,0.00844,2995507.521,2848252.649,771564.1645,716454.2648,91.85614603,92.80311661,30732.98313,29198.89079,3.674245841,3.768942899,4.128791718,4.223488776,3.352275845,3.54166996,0.549242935,0.634470287
02/01/2021,Ontario,GB+DR+MM,5700000940,G,0.003165,2285126.72,2390134.241,518932.6356,532302.1447,89.19749515,89.19749515,23595.03637,24704.94747,4.046071945,4.128832508,4.229984306,4.275962397,3.558704188,3.623073515,0.248281688,0.202303597
02/01/2021,Ontario,GB+DR+MM,5620078067,A,0.00844,1645347.174,1408932.181,418141.4873,356849.7637,87.12129314,86.17432256,17866.49389,15514.21897,3.72159437,3.740533782,4.176140247,4.128791718,3.380684962,3.522730549,0.539773229,0.60606117
02/01/2021,Ontario,GB+DR+MM,5620080506,A,0.00844,1236968.006,1218896.967,169711.3321,166777.6172,79.54552852,80.4924991,14768.95313,14339.97546,6.903415511,6.922354922,7.01705198,6.979173157,5.710232583,5.104171413,0.085227352,0.028409117
02/01/2021,Ontario,GB+DR+MM,5972100003,B,0.00211,1054317.681,1024681.659,362403.5132,357967.8722,88.91448223,88.91448223,10875.06616,10611.98929,2.667434467,2.62160226,2.740765999,2.713266674,2.502438521,2.429106989,0.274993244,0.284159685
02/01/2021,Ontario,GB+DR+MM,5700000060,G,0.003165,978288.7009,712412.1177,278113.1921,206126.2157,66.20845001,58.85195557,13522.15635,11185.5498,3.236857556,3.181683848,3.236857556,3.227661938,2.032231591,2.767881035,0,0.101151799
02/01/2021,Ontario,GB+DR+MM,5835300200,F,0.00844,642159.9354,570264.6889,125412.0754,111964.3597,42.96699858,42.01217639,14361.48057,13104.93457,4.888689616,4.86004495,5.041461166,5.098750498,4.344440967,4.248958748,0.210060882,0.257801991
02/01/2021,Ontario,GB+DR+MM,14973377000,E,0.013715,613286.5821,484414.1536,105426.5394,85795.00989,65.68275877,62.82698665,8849.085878,7365.036299,5.540197914,5.378370827,5.711544241,5.530678673,5.130870577,4.807216403,0.276057972,0.209423289
02/01/2021,Ontario,GB+DR+MM,5856201170,AO MANUF.,0.00211,534572.0563,621419.5846,132188.703,155691.1755,58.60280677,60.43414448,8360.056653,9400.256473,3.699302177,3.653518734,3.80918244,3.790869063,3.122430798,3.040020601,0.137350328,0.173977083
02/01/2021,Ontario,GB+DR+MM,5620078068,A,0.00844,503894.408,487492.8776,134148.799,125794.6246,81.43946968,79.54552852,5892.050934,5817.240258,3.560609372,3.674245841,4.071973484,4.062503778,3.267048493,3.465912314,0.60606117,0.625000581
02/01/2021,Ontario,GB+DR+MM,65527300064,D,0.0211,466696.5646,300123.266,80908.07393,51760.79737,74.94602181,47.08147524,6008.172748,6177.28172,5.544083921,5.572909314,5.91881403,5.755470136,4.842666024,4.861882953,0.336296252,0.192169287
02/01/2021,Ontario,GB+DR+MM,5700000677,G,0.003165,434042.3679,446674.3884,75096.93443,77816.99825,73.56494446,74.48450626,5400.586485,5490.703542,5.315067237,5.278284765,5.388632182,5.305871619,4.634591501,4.82769948,0.091956181,0.04597809
02/01/2021,Ontario,GB+DR+MM,62287170111,G,0.003165,430230.7842,441538.6358,83844.72588,84460.83229,68.96713543,67.12801182,5771.169893,6070.02748,4.717352063,4.809308244,4.87367757,4.818503862,3.92652891,4.358722959,0.156325507,0.027586854
02/01/2021,Ontario,GB+DR+MM,65527300063,D,0.0211,437548.3272,291846.5348,75880.92539,50518.42293,74.94602181,46.1206288,5592.126242,6019.702905,5.544083921,5.553692385,5.899597101,5.745861672,4.823449096,4.861882953,0.317079323,0.211386215
02/01/2021,Ontario,GB+DR+MM,6310062190,AO MANUF.,0.00211,403497.7223,388146.5339,69900.32911,68335.45103,48.53044935,47.6147805,7652.244627,7428.821426,5.283409298,5.2009991,5.320036052,5.274252609,2.939297027,3.3605047,0.009156689,0.036626754
02/01/2021,Ontario,GB+DR+MM,5700000925,G,0.003165,371798.1489,390828.4804,57444.10644,60467.62566,26.66729237,25.74773056,12940.99329,13904.69406,5.949564883,5.940369265,5.958760501,5.958760501,3.83457273,4.377114195,0,0.009195618
02/01/2021,Ontario,GB+DR+MM,5700000913,G,0.003165,368648.6497,304568.0657,127177.2369,103449.7836,33.10422501,26.66729237,10266.90756,10354.26593,2.666729237,2.703511709,2.675924855,2.703511709,2.298904514,2.666729237,0.036782472,0.009195618
02/01/2021,Ontario,GB+DR+MM,5620081879,A,0.00844,347668.8839,373259.8168,47384.51376,51425.23722,43.56064657,47.34852888,7499.060004,7481.067563,6.95076404,6.875006393,7.045461097,6.969703451,5.113641119,4.57386789,0.047348529,0.037878823
02/01/2021,Ontario,GB+DR+MM,5527083945,C,-0.009495,315628.5838,261827.9772,165361.8229,136740.9288,43.76701773,41.94339199,6617.025992,5727.096632,1.74156258,1.74156258,1.850980125,1.832743867,1.559200006,1.540963749,0.34648889,0.264425732
02/01/2021,Ontario,GB+DR+MM,69567600801,AO MANUF.,0.00211,296765.5291,59284.06439,100001.1114,20695.94748,38.45809194,7.325350846,7039.662163,7284.145747,2.719536501,2.618812927,2.747006567,2.737849879,1.813024334,1.932061286,0.027470066,0.137350328
02/01/2021,Ontario,GB+DR+MM,5620093161,A,0.00844,286916.9335,381099.7862,75338.13824,100815.4347,41.66670542,44.50761715,6458.339339,8059.666586,3.607957901,3.579548783,3.731064076,3.759473193,3.087124083,3.134472612,0.17992441,0.274621468
02/01/2021,Ontario,GB+DR+MM,5527083951,C,-0.009495,266957.8364,255768.0689,78969.37717,77479.47494,57.44421076,55.62058503,4244.488906,4169.720251,3.081927498,3.008982469,3.173108785,3.118400013,2.698966093,2.671611707,0.173244445,0.218835089
02/01/2021,Ontario,GB+DR+MM,5527083949,C,-0.009495,252534.7805,247706.7313,84375.51567,81393.88759,56.5323979,56.5323979,4044.801888,4020.182941,2.726320479,2.771911123,2.817501766,2.826619895,2.471012876,2.507485391,0.237071346,0.155008188
02/01/2021,Ontario,GB+DR+MM,5620083923,A,0.00844,248548.5266,254524.8579,62170.51236,63769.94567,44.50761715,49.24247004,5298.300382,4924.247004,3.78788231,3.778412605,4.157200836,4.166670542,3.551139666,3.560609372,0.577652052,0.60606117
02/01/2021,Ontario,GB+DR+MM,11210000155,B,0.00211,216597.512,219597.6883,34786.64537,36800.51256,27.4993244,28.41596855,7108.575358,7158.074142,5.710693034,5.472365556,5.903188305,5.802357449,5.096541456,4.757383122,0.219994595,0.293326127
02/01/2021,Ontario,GB+DR+MM,5527083911,C,-0.009495,202830.9491,240578.1783,154215.8224,180606.4223,59.2678365,64.73871372,3097.428317,3398.326564,1.203592987,1.212711116,1.331246789,1.32212866,1.002994156,0.993876028,0.364725148,0.291780118
02/01/2021,Ontario,GB+DR+MM,6810000313,AO MANUF.,0.00211,194391.0041,269445.6332,53912.75089,74693.85557,60.43414448,61.34981333,2965.851424,4037.183985,3.305564569,3.305564569,3.598578603,3.55279516,2.85688683,2.866043518,0.366267542,0.329640788
02/01/2021,Ontario,GB+DR+MM,5620094201,A,0.00844,199729.3524,231852.4883,52974.48108,59937.55574,47.34852888,55.87126408,3964.018838,3961.177926,3.570079078,3.664776135,3.910988486,3.996215838,3.352275845,3.484851726,0.577652052,0.625000581
02/01/2021,Ontario,GB+DR+MM,5700000898,G,0.003165,193634.8881,197948.5525,23361.46767,24484.25264,24.82816875,22.06948334,7165.22559,8387.32323,7.623167369,7.43005939,7.641558606,7.577189279,6.39095455,5.030003077,0.018391236,0.055173708
02/01/2021,Ontario,GB+DR+MM,5889308001,AO MANUF.,0.00211,188144.3111,223854.4808,57073.63978,69003.8893,34.79541652,41.20509851,4951.021503,4925.382775,3.021707224,2.966767093,3.149900864,3.058333978,2.72869319,2.655439682,0.283857345,0.201447148
02/01/2021,Ontario,GB+DR+MM,11210135802,B,0.00211,171513.2863,172826.8374,17495.98683,18736.20636,26.58268026,26.58268026,5881.188846,5910.521458,8.983112638,8.451459033,9.047277728,8.68062007,7.314820291,5.279870285,0.036665766,0.06416509
02/01/2021,Ontario,GB+DR+MM,5620099629,A,0.00844,173253.949,121528.5221,43203.63866,29107.03464,28.40911733,26.51517617,5813.452376,4316.291893,3.797352016,3.958337014,4.242428188,4.185609953,3.589018489,3.72159437,0.643939993,0.473485289
02/01/2021,Ontario,GB+DR+MM,65527300065,D,0.0211,168872.6041,66499.22081,29074.25223,11690.61856,40.3555502,14.4126965,3980.786774,4476.583533,5.582517778,5.467216206,5.957247887,5.659385493,4.842666024,4.852274489,0.326687787,0.240211608
02/01/2021,Ontario,GB+DR+MM,5517000301,AO MANUF.,0.00211,156470.4097,163055.9001,66829.17577,69865.53369,17.39770826,16.4820394,8374.707354,8828.879107,2.142665122,2.133508434,2.142665122,2.133508434,2.060254925,2.005314794,0.009156689,0
02/01/2021,Ontario,GB+DR+MM,5700000949,G,0.003165,146326.1919,156533.3279,33839.87445,36789.82872,44.13896667,45.05852848,3066.738622,3204.672893,3.972507001,3.908137674,4.21159307,4.000093855,3.623073515,3.577095424,0.367824722,0.193107979
02/01/2021,Ontario,GB+DR+MM,1121062505,B,0.00211,142232.9223,132479.8286,47044.0109,44703.81839,53.16536051,54.08200466,2449.27316,2244.861515,2.768265323,2.713266674,2.969927035,2.869096179,2.520771404,2.43827343,0.412489866,0.329991893
02/01/2021,Ontario,GB+DR+MM,6720000204,AO MANUF.,0.00211,140596.3745,141091.7513,42151.9001,42519.08332,30.21707224,30.21707224,4206.582723,4277.089225,3.058333978,3.040020601,3.076647355,3.058333978,2.66459637,2.783633321,0.045783443,0.073253508
02/01/2021,Ontario,GB+DR+MM,2100002685,AO MANUF.,0.00211,127905.2041,109116.5949,30696.88272,26440.85388,13.73503284,9.156688557,8305.116521,10673.95185,3.818339128,3.781712374,3.818339128,3.818339128,3.626048669,3.607735292,0.009156689,0.164820394
02/01/2021,Ontario,GB+DR+MM,62784386625,AO MANUF.,0.00211,127201.9704,73409.17216,12399.98764,6595.562768,1.831337711,0.915668856,72527.38306,59121.07534,9.39476246,10.19139436,10.28296125,10.38368482,8.643913998,9.880066953,0.494461182,0.357110854
02/01/2021,Ontario,GB+DR+MM,5620077378,A,0.00844,130442.3562,136968.8774,33398.7053,34780.33537,39.77276426,41.66670542,3138.260494,3079.548318,3.702654958,3.731064076,4.043564366,4.195079659,3.513260843,3.54166996,0.615530875,0.67234911
02/01/2021,Ontario,GB+DR+MM,62178703643,L,-0.007385,127909.6193,48559.92462,15528.45307,5898.477062,14.01063435,4.670211451,8457.752938,9521.627106,7.696508471,7.687168048,7.715189317,7.715189317,7.238827749,5.3427219,0.037361692,0.009340423
02/01/2021,Ontario,GB+DR+MM,69567600303,AO MANUF.,0.00211,123596.9821,117750.4365,27924.23742,26240.3224,34.79541652,34.79541652,3266.190808,3128.84048,4.056413031,4.111353162,4.248703491,4.230390113,3.351348012,3.61689198,0.201447148,0.173977083
02/01/2021,Ontario,GB+DR+MM,5527084008,C,-0.009495,122431.8494,116624.5132,38793.07852,37221.11314,20.05988312,20.05988312,5686.065053,5407.050315,2.881328667,2.853974281,2.899564924,2.86309241,2.626021064,2.1609965,0.063826901,0.009118129
02/01/2021,Ontario,GB+DR+MM,14973377101,E,0.013715,126030.9352,99538.88919,22562.5036,18976.60574,36.17311353,35.22118949,3343.157229,2726.310451,5.321255385,4.997601211,5.492601712,5.168947538,4.816735643,4.51211995,0.24750025,0.24750025
02/01/2021,Ontario,GB+DR+MM,62178702700,L,-0.007385,122033.5593,121729.9955,19640.10724,20604.03888,24.28509954,23.35105725,4696.364635,4888.777347,5.800402622,5.520189935,5.98721108,5.725679239,4.69823272,4.931743292,0.130765921,0.242850995
02/01/2021,Ontario,GB+DR+MM,6840000131,AO MANUF.,0.00211,116244.1612,0,27361.10108,0,26.55439682,0,3953.858119,0,3.891592637,0,4.285330245,0,3.113274109,0,0.311327411,0
02/01/2021,Ontario,GB+DR+MM,415008050,A,0.00844,116049.3503,220840.1675,52982.05685,157143.1386,12.31061751,17.0454704,8853.22793,12553.04198,2.073865565,1.335228514,2.253789975,1.392046749,1.373107338,1.003788812,0.189394116,0.151515292
02/01/2021,Ontario,GB+DR+MM,8.85E+11,AO MANUF.,0.00211,110736.4131,101884.6422,47781.43223,48529.53368,27.47006567,21.97605254,3649.856059,4203.835717,2.124351745,1.922904597,2.316642205,2.225075319,1.849651089,1.501696923,0.384580919,0.384580919
02/01/2021,Ontario,GB+DR+MM,65527300118,D,0.0211,114579.9763,49029.11096,19824.18361,8661.069751,31.7079323,11.5301572,3515.7371,4000.964549,5.553692385,5.438390813,6.130200245,5.745861672,4.794623703,4.823449096,0.413163966,0.317079323
