Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
01/01/2021,Ontario,WC+GM+TRU,5700000912,G,-0.00633,1765678.853,1581080.753,427785.7163,373182.5065,53.0122945,53.0122945,18214.36857,16303.73989,2.257121405,2.31723844,2.32816881,2.366425105,2.06583993,2.115026595,0.147559995,0.1093037
01/01/2021,Ontario,WC+GM+TRU,4150080502,A,0.017935,1770992.268,1683932.818,456161.1548,423579.2949,54.30683225,54.8666965,18169.83437,17262.85428,2.17227329,2.228259715,2.44100813,2.496994555,1.981919445,2.093892295,0.324721265,0.375109048
01/01/2021,Ontario,WC+GM+TRU,5700000940,G,-0.00633,1358107.763,1420516.35,308414.599,316360.4315,53.0122945,53.0122945,14023.11819,14682.76602,2.4046814,2.453868065,2.5139851,2.541311025,2.115026595,2.15328289,0.147559995,0.12023407
01/01/2021,Ontario,WC+GM+TRU,5620078067,A,0.017935,972755.7364,832983.3869,247211.9786,210975.3249,51.507511,50.94764675,10562.9588,9172.256008,2.200266503,2.211463788,2.469001343,2.44100813,1.998715373,2.08269501,0.319122623,0.35831312
01/01/2021,Ontario,WC+GM+TRU,5620080506,A,0.017935,731315.3983,720631.5088,100336.0716,98601.61212,47.028597,47.58846125,8731.642843,8478.024338,4.081410383,4.092607668,4.148594093,4.126199523,3.375981428,3.017668308,0.050387783,0.016795928
01/01/2021,Ontario,WC+GM+TRU,5972100003,B,-0.00844,627266.9541,609634.9846,215612.1935,212973.2062,52.899726,52.899726,6470.127312,6313.609566,1.58699178,1.55972388,1.63062042,1.61425968,1.48882734,1.4451987,0.1636074,0.16906098
01/01/2021,Ontario,WC+GM+TRU,5700000060,G,-0.00633,581421.3575,423404.2775,165289.6017,122505.9474,39.349332,34.977184,8036.554543,6647.851034,1.92374512,1.89095401,1.92374512,1.918279935,1.207805885,1.645020685,0,0.060117035
01/01/2021,Ontario,WC+GM+TRU,5835300200,F,0.026375,379655.2914,337149.6643,74145.63791,66195.13189,25.40278125,24.838275,8490.738506,7747.848281,2.890272,2.873336813,2.980593,3.014463375,2.568503438,2.512052813,0.124191375,0.152416688
01/01/2021,Ontario,WC+GM+TRU,14973377000,E,0.017935,360698.1417,284903.1597,62005.52555,50459.44512,38.63063325,36.9510405,5204.498068,4331.669702,3.258409935,3.163233013,3.3591855,3.252811293,3.017668308,2.827314463,0.162360633,0.123170135
01/01/2021,Ontario,WC+GM+TRU,5856201170,AO MANUF.,-0.009495,318043.9743,369713.9648,78645.75032,92628.56083,34.865776,35.9553315,4973.820858,5592.688382,2.20090211,2.173663223,2.26627544,2.255379885,1.857692128,1.80866213,0.081716663,0.103507773
01/01/2021,Ontario,WC+GM+TRU,5620078068,A,0.017935,297910.4858,288213.637,79310.92952,74371.80711,48.1483255,47.028597,3483.475364,3439.246088,2.10508958,2.17227329,2.407416275,2.401817633,1.931531663,2.049103155,0.35831312,0.369510405
01/01/2021,Ontario,WC+GM+TRU,65527300064,D,0.020045,272497.5754,175237.7637,47241.08907,30222.40328,43.7599305,27.49021275,3508.087762,3606.828118,3.237112808,3.25394355,3.45591246,3.360538253,2.82756474,2.838785235,0.196358663,0.11220495
01/01/2021,Ontario,WC+GM+TRU,5700000677,G,-0.00633,257962.1972,265469.7218,44631.97982,46248.58154,43.72148,44.2679985,3209.703151,3263.261964,3.15887693,3.13701619,3.20259841,3.153411745,2.75445324,2.869222125,0.05465185,0.027325925
01/01/2021,Ontario,WC+GM+TRU,62287170111,G,-0.00633,255696.878,262417.416,49831.01031,50197.17771,40.9888875,39.8958505,3429.950106,3607.568619,2.803639905,2.858291755,2.89654805,2.86375694,2.333633995,2.59049769,0.092908145,0.016395555
01/01/2021,Ontario,WC+GM+TRU,65527300063,D,0.020045,255478.3286,170405.0965,44305.80758,29496.99828,43.7599305,26.929188,3265.164045,3514.820059,3.237112808,3.242723055,3.444691965,3.354928005,2.816344245,2.838785235,0.185138168,0.123425445
01/01/2021,Ontario,WC+GM+TRU,6310062190,AO MANUF.,-0.009495,240061.2185,230928.0196,41587.24388,40656.2187,28.87322075,28.328443,4552.707657,4419.781886,3.143367618,3.09433762,3.165158728,3.13791984,1.748736578,1.999334343,0.005447778,0.02179111
01/01/2021,Ontario,WC+GM+TRU,5700000925,G,-0.00633,220968.9064,232279.1068,34140.46418,35937.417,15.8490365,15.302518,7691.154851,8263.906239,3.535974695,3.53050951,3.54143988,3.54143988,2.278982145,2.60142806,0,0.005465185
01/01/2021,Ontario,WC+GM+TRU,5700000913,G,-0.00633,219097.0806,181012.3924,75584.60159,61482.78473,19.674666,15.8490365,6101.879053,6153.79831,1.58490365,1.60676439,1.590368835,1.60676439,1.36629625,1.58490365,0.02186074,0.005465185
01/01/2021,Ontario,WC+GM+TRU,5620081879,A,0.017935,205547.441,220677.2125,28014.48734,30403.4281,25.7537555,27.9932125,4433.564996,4422.927575,4.109403595,4.064614455,4.16539002,4.12060088,3.02326695,2.704144328,0.027993213,0.02239457
01/01/2021,Ontario,WC+GM+TRU,5527083945,C,-0.00211,189983.5371,157599.8113,99534.78752,82307.26446,26.344296,25.246617,3982.928252,3447.2609,1.048283445,1.048283445,1.114144185,1.103167395,0.938515545,0.927538755,0.20855901,0.159163455
01/01/2021,Ontario,WC+GM+TRU,69567600801,AO MANUF.,-0.009495,176560.8344,35271.09065,59495.72286,12313.06671,22.8806655,4.358222,4188.251342,4333.707001,1.617989918,1.558064365,1.63433325,1.628885473,1.078659945,1.149481053,0.016343333,0.081716663
01/01/2021,Ontario,WC+GM+TRU,5620093161,A,0.017935,169629.9099,225312.3286,44541.12014,59603.70792,24.634027,26.31361975,3818.274185,4765.004632,2.133082793,2.116286865,2.205865145,2.222661073,1.825157455,1.853150668,0.106374208,0.162360633
