Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
07/01/2021,Ontario,GB+DR+MM,5700000912,G,0.00633,2733884.081,2448062.112,662360.8579,577816.1255,82.08144294,82.08144294,28202.16835,25243.85161,3.494807828,3.587889877,3.604813886,3.664047917,3.198637673,3.274795713,0.22847412,0.169240089
07/01/2021,Ontario,GB+DR+MM,4150080502,A,0.003165,2869379.213,2728324.629,739076.8209,686287.3688,87.98846747,88.89556507,29438.9456,27969.44748,3.519538699,3.610248459,3.954945548,4.045655308,3.211125514,3.392545034,0.52611661,0.607755394
07/01/2021,Ontario,GB+DR+MM,5700000940,G,0.00633,2102822.486,2199452.653,477532.911,489835.8193,82.08144294,82.08144294,21712.65716,22734.02109,3.723281948,3.799439988,3.892522036,3.934832059,3.274795713,3.334029744,0.22847412,0.186164097
07/01/2021,Ontario,GB+DR+MM,5620078067,A,0.003165,1576068.478,1349607.933,400535.2962,341824.3109,83.45297945,82.54588185,17114.21047,14860.98003,3.564893579,3.583035531,4.000300428,3.954945548,3.238338442,3.374403082,0.517045634,0.580542466
07/01/2021,Ontario,GB+DR+MM,5620080506,A,0.003165,1184884.451,1167574.308,162565.4969,159755.3085,76.19619863,77.10329624,14147.09421,13736.179,6.612741524,6.630883476,6.721593236,6.685309332,5.469798545,4.889256079,0.081638784,0.027212928
07/01/2021,Ontario,GB+DR+MM,5972100003,B,0.0047475,982243.8575,954633.7728,337629.3798,333496.962,82.83623199,82.83623199,10131.63976,9886.546987,2.48508696,2.442387871,2.553405502,2.527786048,2.331370241,2.263051699,0.256194532,0.26473435
07/01/2021,Ontario,GB+DR+MM,5700000060,G,0.00633,900242.1878,655576.869,255925.7081,189681.7526,60.92643187,54.15682833,12443.37751,10293.18218,2.978625558,2.927853532,2.978625558,2.970163554,1.870102978,2.547063333,0,0.093082049
07/01/2021,Ontario,GB+DR+MM,5835300200,F,0.013715,660185.3045,586271.9652,128932.3806,115107.1888,44.17307819,43.19145423,14764.60598,13472.78885,5.025914675,4.996465956,5.182974508,5.241871946,4.466389017,4.368226621,0.215957271,0.265038469
07/01/2021,Ontario,GB+DR+MM,14973377000,E,0.005275,574704.5731,453939.5406,98794.12997,80397.62481,61.55064034,58.87452554,8292.387718,6901.700062,5.191662707,5.040016201,5.352229594,5.182742324,4.808086252,4.504793242,0.258691097,0.196248418
07/01/2021,Ontario,GB+DR+MM,5856201170,AO MANUF.,-0.00633,496197.8702,576811.0598,122699.554,144514.9046,54.39601184,56.09588721,7759.931063,8725.460274,3.433748247,3.391251363,3.535740769,3.518742016,2.898287506,2.821793114,0.127490653,0.16148816
07/01/2021,Ontario,GB+DR+MM,5620078068,A,0.003165,482677.5196,466966.5891,128500.3535,120497.9385,78.01039384,76.19619863,5643.961284,5572.300574,3.410686986,3.519538699,3.900519692,3.891448716,3.12948673,3.319977226,0.580542466,0.598684418
07/01/2021,Ontario,GB+DR+MM,65527300064,D,0.013715,452767.8564,291165.9912,78493.3466,50215.97982,72.70923383,45.67631356,5828.856912,5992.918773,5.378618964,5.406584054,5.742165133,5.58369629,4.698135109,4.716778502,0.326259383,0.186433933
07/01/2021,Ontario,GB+DR+MM,5700000677,G,0.00633,399415.071,411039.3264,69105.80535,71608.86626,67.69603542,68.54223586,4969.7352,5052.662843,4.891038559,4.857190541,4.958734594,4.882576554,4.264850231,4.442552324,0.084620044,0.042310022
