Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
07/01/2021,Ontario,WC+GM+TRU,5700000912,G,0.00633,1769202.527,1584236.034,428639.4262,373927.2475,53.1180884,53.1180884,18250.71804,16336.27642,2.261625826,2.321862833,2.332815016,2.371147657,2.06996262,2.119247444,0.147854473,0.109521832
07/01/2021,Ontario,WC+GM+TRU,4150080502,A,0.003165,1856886.688,1765604.79,478285.3042,444123.2003,56.9407533,57.52777137,19051.08461,18100.11533,2.277630132,2.336331939,2.559398808,2.618100616,2.078043986,2.195447601,0.340470484,0.39330211
07/01/2021,Ontario,WC+GM+TRU,5700000940,G,0.00633,1360818.069,1423351.201,309030.0861,316991.7757,53.1180884,53.1180884,14051.1034,14712.06766,2.409480298,2.458765123,2.51900213,2.546382588,2.119247444,2.157580085,0.147854473,0.120474015
07/01/2021,Ontario,WC+GM+TRU,5620078067,A,0.003165,1019935.1,873383.6899,259201.9403,221207.7823,54.00566292,53.41864485,11075.27003,9617.117127,2.306981036,2.318721397,2.588749712,2.559398808,2.095654529,2.18370724,0.334600303,0.375691568
07/01/2021,Ontario,WC+GM+TRU,5620080506,A,0.003165,766784.7296,755582.6636,105202.4444,103383.8624,49.30951832,49.8965364,9155.133902,8889.214713,4.279361769,4.29110213,4.349803938,4.326323215,3.539718994,3.164027426,0.052831627,0.017610542
07/01/2021,Ontario,WC+GM+TRU,5972100003,B,0.0047475,635648.1341,617780.5764,218493.0796,215818.8316,53.60654169,53.60654169,6556.57743,6397.968383,1.608196251,1.580564013,1.652407832,1.635828489,1.508720194,1.464508613,0.165793428,0.171319876
07/01/2021,Ontario,WC+GM+TRU,5700000060,G,0.00633,582581.6701,424249.2435,165619.4616,122750.4262,39.42785943,35.04698616,8052.592679,6661.117807,1.927584239,1.894727689,1.927584239,1.922108147,1.210216241,1.648303568,0,0.060237007
07/01/2021,Ontario,WC+GM+TRU,5835300200,F,0.013715,427231.5411,379399.3496,83437.14908,74490.3307,28.58611384,27.95086687,9554.74974,8718.764722,3.252464508,3.233407099,3.354104024,3.392218843,2.890373733,2.826849036,0.139754334,0.171516683
07/01/2021,Ontario,WC+GM+TRU,14973377000,E,0.005275,371913.6411,293761.9002,63933.51701,52028.42432,39.83180896,38.09999118,5366.32603,4466.358057,3.359726495,3.261590154,3.463635562,3.353953769,3.111499279,2.915226598,0.167409052,0.126999971
07/01/2021,Ontario,WC+GM+TRU,5856201170,AO MANUF.,-0.00633,321108.9058,373276.8305,79403.645,93521.20529,35.20177109,36.30182644,5021.752657,5646.584094,2.2221118,2.194610416,2.288115121,2.277114567,1.875594366,1.826091875,0.082504151,0.104505258
07/01/2021,Ontario,WC+GM+TRU,5620078068,A,0.003165,312359.3621,302192.209,83157.56756,77978.8941,50.48355447,49.30951832,3652.426464,3606.052036,2.207187963,2.277630132,2.524177724,2.518307543,2.02521236,2.148486155,0.375691568,0.38743193
07/01/2021,Ontario,WC+GM+TRU,65527300064,D,0.013715,293003.6578,188424.8169,50796.09195,32496.71009,47.05296802,29.55891581,3772.079603,3878.250403,3.480713147,3.498810443,3.715977987,3.613426647,3.040345626,3.05241049,0.211135113,0.120648636
07/01/2021,Ontario,WC+GM+TRU,5700000677,G,0.00633,258476.999,265999.506,44721.04956,46340.87745,43.8087327,44.35634186,3216.108589,3269.774287,3.165180938,3.143276571,3.20898967,3.159704846,2.75995016,2.874948083,0.054760916,0.027380458
07/01/2021,Ontario,WC+GM+TRU,62287170111,G,0.00633,256207.1591,262941.1089,49930.45548,50297.35362,41.07068691,39.97546859,3436.79508,3614.768057,2.809234984,2.8639959,2.902328541,2.869471992,2.338291108,2.595667412,0.093093557,0.016428275
07/01/2021,Ontario,WC+GM+TRU,65527300063,D,0.013715,274703.6727,183228.4802,47639.92363,31716.71666,47.05296802,28.95567263,3510.875306,3779.318521,3.480713147,3.486745579,3.703913124,3.607394215,3.028280762,3.05241049,0.199070249,0.1327135
07/01/2021,Ontario,WC+GM+TRU,6310062190,AO MANUF.,-0.00633,242374.6445,233153.4305,41988.01252,41048.01523,29.15146668,28.60143901,4596.581266,4462.374513,3.173659675,3.124157184,3.195660782,3.168159398,1.765588831,2.018601561,0.005500277,0.022001107
