Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
06/01/2021,Ontario,GB+DR+MM,5700000912,G,-0.0211,2724862.036,2439983.303,660175.0119,575909.2841,81.81056734,81.81056734,28109.09885,25160.54479,3.483274671,3.576049541,3.592917699,3.651956253,3.188081902,3.263988614,0.227720136,0.168681582
06/01/2021,Ontario,GB+DR+MM,4150080502,A,0.00211,2868933.08,2727900.427,738961.9086,686180.6643,87.97478695,88.88174352,29434.36841,27965.09877,3.518991478,3.609687135,3.95433063,4.045026287,3.210626245,3.392017559,0.526034809,0.6076609
06/01/2021,Ontario,GB+DR+MM,5700000940,G,-0.0211,2095882.996,2192194.275,475957.0126,488219.3202,81.81056734,81.81056734,21641.00358,22658.99693,3.710994807,3.786901519,3.879676389,3.921846785,3.263988614,3.323027168,0.227720136,0.18554974
06/01/2021,Ontario,GB+DR+MM,5620078067,A,0.00211,1575823.43,1349398.095,400473.0206,341771.1638,83.44000412,82.53304755,17111.54954,14858.66943,3.564339306,3.582478438,3.999678458,3.95433063,3.237834942,3.373878427,0.516965243,0.580452203
06/01/2021,Ontario,GB+DR+MM,5620080506,A,0.00211,1184700.225,1167392.772,162540.2211,159730.4696,76.18435158,77.09130815,14144.89461,13734.04329,6.61171337,6.629852501,6.720548158,6.684269895,5.468948096,4.888495893,0.081626091,0.027208697
06/01/2021,Ontario,GB+DR+MM,5972100003,B,-0.003165,980544.3217,952982.0096,337045.1937,332919.9261,82.69290389,82.69290389,10114.1094,9869.440705,2.480787117,2.438161909,2.54898745,2.523412325,2.327336367,2.259136034,0.255751249,0.264276291
06/01/2021,Ontario,GB+DR+MM,5700000060,G,-0.0211,897271.3135,653413.4106,255081.1319,189055.787,60.72536957,53.97810628,12402.31333,10259.21383,2.968795846,2.918191371,2.968795846,2.960361766,1.863931483,2.538657811,0,0.09277487
06/01/2021,Ontario,GB+DR+MM,5835300200,F,0.005275,653213.0036,580080.2724,127570.7094,113891.5271,43.7065607,42.7353038,14608.6751,13330.50101,4.972835351,4.943697644,5.128236456,5.18651187,4.419218915,4.322093225,0.213676519,0.262239364
06/01/2021,Ontario,GB+DR+MM,14973377000,E,0.00633,573409.1415,452916.3234,98571.43983,80216.40192,61.41190011,58.74181749,8273.695991,6886.14306,5.17996027,5.028655588,5.340165227,5.171059994,4.797248429,4.494639066,0.258107986,0.195806058
06/01/2021,Ontario,GB+DR+MM,5856201170,AO MANUF.,0.00633,500861.3956,582232.2299,123852.7482,145873.1307,54.90725383,56.62310551,7832.862928,8807.466684,3.466020398,3.423124106,3.568971499,3.551812982,2.925527118,2.848313792,0.128688876,0.16300591
