Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
06/01/2021,Ontario,WC+GM+TRU,5700000912,G,-0.0211,1792124.281,1604761.365,434192.8702,378771.8416,53.80628531,53.80628531,18487.17399,16547.9289,2.290927406,2.351944843,2.363038922,2.4018682,2.096781015,2.146704373,0.149770073,0.110940794
06/01/2021,Ontario,WC+GM+TRU,4150080502,A,0.00211,1886878.882,1794122.611,486010.5068,451296.621,57.86045301,58.45695253,19358.79528,18392.46606,2.31441812,2.374068072,2.600737888,2.660387839,2.111608285,2.230908188,0.345969719,0.399654675
06/01/2021,Ontario,WC+GM+TRU,5700000940,G,-0.0211,1378448.801,1441792.112,313033.8739,321098.7149,53.80628531,53.80628531,14233.14923,14902.67692,2.440697478,2.490620836,2.551638273,2.579373471,2.146704373,2.185533651,0.149770073,0.122034874
06/01/2021,Ontario,WC+GM+TRU,5620078067,A,0.00211,1036408.961,887490.4708,263388.5366,224780.702,54.87795543,54.28145592,11254.15636,9772.451564,2.344243096,2.356173087,2.630562864,2.600737888,2.129503271,2.218978198,0.340004724,0.38175969
06/01/2021,Ontario,WC+GM+TRU,5620080506,A,0.00211,779169.7377,767786.7375,106901.6607,105053.7052,50.10595931,50.70245882,9303.006445,9032.792164,4.348481469,4.360411459,4.42006141,4.39620143,3.596892079,3.215132389,0.053684956,0.017894985
06/01/2021,Ontario,WC+GM+TRU,5972100003,B,-0.003165,644897.7101,626770.1543,221672.4617,218959.2997,54.38659241,54.38659241,6651.98487,6491.067838,1.631597772,1.603563446,1.676452694,1.659632098,1.530674199,1.485819277,0.168205956,0.173812821
06/01/2021,Ontario,WC+GM+TRU,5700000060,G,-0.0211,590129.5868,429745.8085,167765.2241,124340.7783,39.93868601,35.50105423,8156.921913,6747.419119,1.952557983,1.919275744,1.952557983,1.947010943,1.225895779,1.669658957,0,0.061017437
06/01/2021,Ontario,WC+GM+TRU,5835300200,F,0.005275,429614.002,381515.0739,83902.43718,74905.72677,28.74552459,28.10673516,9608.031898,8767.385001,3.270601909,3.251438226,3.372808219,3.411135585,2.906491931,2.842612988,0.140533676,0.172473148
06/01/2021,Ontario,WC+GM+TRU,14973377000,E,0.00633,377127.5139,297880.1604,64829.80364,52757.81295,40.39021274,38.63411653,5441.556777,4528.972115,3.40682664,3.307314521,3.512192412,3.400972986,3.155119517,2.95609528,0.169755967,0.128780388
06/01/2021,Ontario,WC+GM+TRU,5856201170,AO MANUF.,0.00633,329413.3268,382930.4026,81457.15796,95939.8223,36.11214861,37.24065325,5151.6237,5792.614337,2.279579381,2.251366765,2.347289659,2.336004613,1.924100418,1.873317709,0.084637848,0.107207941
06/01/2021,Ontario,WC+GM+TRU,5620078068,A,0.00211,317404.5502,307073.1786,84500.71788,79238.39915,51.29895834,50.10595931,3711.419986,3664.296524,2.242838179,2.31441812,2.564947917,2.558982922,2.057923329,2.183188227,0.38175969,0.39368968
06/01/2021,Ontario,WC+GM+TRU,65527300064,D,0.003165,294637.5956,189475.5698,51079.35687,32677.92832,47.31535937,29.7237514,3793.114643,3899.877505,3.500123379,3.518321594,3.736700176,3.633576957,3.057300144,3.069432287,0.21231251,0.121321434
06/01/2021,Ontario,WC+GM+TRU,5700000677,G,-0.0211,261825.822,269445.7904,45300.4546,46941.26895,44.37631779,44.93102176,3257.776429,3312.137419,3.20618896,3.184000801,3.250565278,3.20064192,2.79570802,2.912195855,0.055470397,0.027735199
06/01/2021,Ontario,WC+GM+TRU,62287170111,G,-0.0211,259526.574,266347.7688,50577.35349,50949.00515,41.60279792,40.49338998,3481.32213,3661.600921,2.845631378,2.901101775,2.939931053,2.906648815,2.368585962,2.629296829,0.094299675,0.016641119
06/01/2021,Ontario,WC+GM+TRU,65527300063,D,0.003165,276235.5605,184250.2556,47905.58815,31893.58525,47.31535937,29.11714423,3530.453737,3800.393929,3.500123379,3.506189451,3.724568032,3.627510885,3.045168,3.069432287,0.200180367,0.133453578
06/01/2021,Ontario,WC+GM+TRU,6310062190,AO MANUF.,0.00633,248642.8639,239183.1738,43073.89375,42109.58654,29.90537306,29.34112074,4715.456655,4577.779088,3.255735898,3.204953189,3.278305991,3.250093375,1.811249954,2.070806022,0.005642523,0.022570093
06/01/2021,Ontario,WC+GM+TRU,5700000925,G,-0.0211,224278.4648,235758.0635,34651.80245,36475.66911,16.0864152,15.53171122,7806.349002,8387.678765,3.588934701,3.583387661,3.594481741,3.594481741,2.313115565,2.640390908,0,0.00554704
06/01/2021,Ontario,WC+GM+TRU,5700000913,G,-0.0211,222378.6037,183723.5027,76716.66878,62403.64218,19.969343,16.0864152,6193.269851,6245.966728,1.60864152,1.630829679,1.614188559,1.630829679,1.386759931,1.60864152,0.022188159,0.00554704
06/01/2021,Ontario,WC+GM+TRU,5620081879,A,0.00211,218997.6391,235117.4421,29847.64276,32392.90619,27.43897772,29.82497578,4723.679664,4712.346173,4.378306444,4.330586483,4.437956396,4.390236435,3.221097384,2.88109266,0.029824976,0.023859981
06/01/2021,Ontario,WC+GM+TRU,5527083945,C,0.00211,192463.5584,159657.0994,100834.1022,83381.69317,26.68819114,25.57618317,4034.920898,3492.261011,1.061967606,1.061967606,1.128688084,1.117568004,0.950766809,0.93964673,0.211281513,0.161241155
06/01/2021,Ontario,WC+GM+TRU,69567600801,AO MANUF.,0.00633,182872.4848,36531.95233,61622.56033,12753.23098,23.69859752,4.514018576,4337.971851,4488.627221,1.675829396,1.613761641,1.692756966,1.687114443,1.117219598,1.190572399,0.01692757,0.084637848
06/01/2021,Ontario,WC+GM+TRU,5620093161,A,0.00211,180729.8092,240055.8615,47455.71196,63503.93493,26.24597869,28.03547723,4068.126696,5076.807377,2.272663154,2.254768169,2.350208091,2.368103077,1.944588421,1.974413397,0.113334908,0.17298486
06/01/2021,Ontario,WC+GM+TRU,5527083951,C,0.00211,162785.1778,155961.897,48153.83687,47245.32637,35.02825087,33.9162429,2588.198536,2542.60621,1.879293459,1.834813141,1.934893857,1.901533619,1.645771787,1.629091667,0.105640757,0.133440956
06/01/2021,Ontario,WC+GM+TRU,5527083949,C,0.00211,153990.3069,151046.2658,51450.38448,49632.25146,34.47224689,34.47224689,2466.433664,2451.421557,1.662451906,1.690252105,1.718052304,1.723612344,1.506770791,1.529010951,0.144561035,0.094520677
06/01/2021,Ontario,WC+GM+TRU,5620083923,A,0.00211,156561.4384,160325.9468,39161.3862,40168.87388,28.03547723,31.01797481,3337.41479,3101.797481,2.385998062,2.380033067,2.618632873,2.624597869,2.236873183,2.242838179,0.363864704,0.38175969
06/01/2021,Ontario,WC+GM+TRU,11210000155,B,-0.003165,132486.8605,134321.9875,21278.05342,22509.88171,16.82059559,17.38128211,4348.12396,4378.401032,3.493077018,3.347298523,3.610821187,3.54914567,3.117417049,2.909963037,0.134564765,0.179419686
06/01/2021,Ontario,WC+GM+TRU,5527083911,C,0.00211,123681.9738,146699.4266,94037.50949,110129.9327,36.14025883,39.47628272,1888.745527,2072.226841,0.733925256,0.739485296,0.811765814,0.806205774,0.61160438,0.60604434,0.222401593,0.177921274
06/01/2021,Ontario,WC+GM+TRU,6810000313,AO MANUF.,0.00633,119787.3824,166037.4525,33222.04821,46027.75466,37.24065325,37.80490557,1827.613271,2487.788488,2.036950882,2.036950882,2.217511625,2.189299009,1.760467245,1.766109768,0.225700929,0.203130836
06/01/2021,Ontario,WC+GM+TRU,5620094201,A,0.00211,125810.0988,146044.5554,33368.7794,37754.84034,29.82497578,35.19347142,2496.946972,2495.157474,2.248803174,2.308453125,2.463542999,2.517227956,2.111608285,2.195118217,0.363864704,0.39368968
06/01/2021,Ontario,WC+GM+TRU,5700000898,G,-0.0211,116805.6796,119407.7959,14092.25442,14769.54797,14.97700725,13.31289534,4322.253352,5059.454931,4.59849593,4.482008096,4.60959001,4.570760732,3.855192608,3.034230729,0.011094079,0.033282238
06/01/2021,Ontario,WC+GM+TRU,5889308001,AO MANUF.,0.00633,115938.0531,137943.3294,35169.84723,42521.49073,21.44158823,25.39135449,3050.912305,3035.11324,1.862032663,1.828177523,1.941027988,1.884602755,1.681471919,1.636331734,0.17491822,0.124135511
06/01/2021,Ontario,WC+GM+TRU,11210135802,B,-0.003165,104910.0547,105713.5185,10701.8236,11460.43246,16.25990907,16.25990907,3597.36471,3615.306679,5.494727893,5.169529711,5.533975949,5.309701341,4.474278427,3.229554353,0.022427461,0.039248056
06/01/2021,Ontario,WC+GM+TRU,5620099629,A,0.00211,109133.1654,76551.16883,27214.0974,18334.60561,17.89498547,16.70198644,3661.910526,2718.844792,2.391963057,2.493367975,2.67231783,2.636527859,2.260733164,2.344243096,0.405619671,0.298249758
06/01/2021,Ontario,WC+GM+TRU,65527300065,D,0.003165,106613.6368,41982.67572,18355.3264,7380.589454,25.4775012,9.099107571,2513.173511,2826.182811,3.524387666,3.451594805,3.760964463,3.572916239,3.057300144,3.063366215,0.206246438,0.151651793
06/01/2021,Ontario,WC+GM+TRU,5517000301,AO MANUF.,0.00633,96420.00103,100478.1037,41181.39147,43052.45217,10.72079412,10.1565418,5160.651737,5440.520888,1.320350433,1.31470791,1.320350433,1.31470791,1.269567724,1.235712585,0.005642523,0
