Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
03/01/2021,Ontario,GB+DR+MM,5700000912,G,0.013715,3056818.743,2737234.617,740600.9269,646069.5149,91.77715138,91.77715138,31533.49383,28225.73175,3.907625105,4.011702287,4.030625411,4.096856345,3.576470435,3.661624493,0.255462174,0.18923124
03/01/2021,Ontario,GB+DR+MM,4150080502,A,-0.00211,3034024.805,2884876.478,781485.2066,725666.6845,93.0372645,93.99641156,31128.15858,29574.34035,3.72149058,3.817405286,4.181881167,4.277795873,3.395380581,3.587209992,0.556305293,0.642628528
03/01/2021,Ontario,GB+DR+MM,5700000940,G,0.013715,2351214.241,2459258.656,533940.5436,547696.7086,91.77715138,91.77715138,24277.42193,25419.43246,4.163087279,4.248241337,4.352318519,4.399626329,3.661624493,3.727855427,0.255462174,0.208154364
03/01/2021,Ontario,GB+DR+MM,5620078067,A,-0.00211,1666503.624,1427048.725,423518.0969,361438.2628,88.24152922,87.28238216,18096.22752,15713.70623,3.769447933,3.788630874,4.22983852,4.181881167,3.424154993,3.568027051,0.546713822,0.613854116
03/01/2021,Ontario,GB+DR+MM,5620080506,A,-0.00211,1252873.374,1234569.971,171893.5398,168922.1022,80.56835277,81.52749982,14958.8575,14524.36388,6.992182044,7.011364985,7.10727969,7.068913808,5.783656752,5.169802636,0.086323235,0.028774412
03/01/2021,Ontario,GB+DR+MM,5972100003,B,0.00422,1074648.405,1044440.903,369391.8489,364870.6741,90.62904687,90.62904687,11084.77332,10816.62346,2.718871406,2.672155403,2.793617012,2.76558741,2.550693793,2.475948188,0.280296021,0.289639222
03/01/2021,Ontario,GB+DR+MM,5700000060,G,0.013715,1006581.519,733015.5927,286156.4272,212087.5353,68.12324639,60.55399679,13913.22692,11509.04401,3.330469823,3.273700451,3.330469823,3.321008261,2.091005202,2.847930161,0,0.104077182
03/01/2021,Ontario,GB+DR+MM,5835300200,F,0.024265,667608.0754,592863.694,130382.0275,116401.3925,44.66973669,43.67707587,14930.61132,13624.26969,5.082423375,5.05264355,5.241249105,5.300808754,4.51660671,4.417340628,0.218385379,0.26801842
03/01/2021,Ontario,GB+DR+MM,14973377000,E,-0.005275,619202.2678,489086.752,106443.4706,86622.57784,66.31632645,63.43300791,8934.443054,7436.078518,5.59363797,5.43024992,5.766637083,5.584026909,5.180362313,4.853586211,0.278720792,0.21144336
03/01/2021,Ontario,GB+DR+MM,5856201170,AO MANUF.,0.01477,550604.7009,640056.9211,136153.2471,160360.5952,60.36039578,62.24665814,8610.78771,9682.184735,3.810249983,3.763093424,3.923425725,3.904563102,3.216077337,3.131195531,0.141469678,0.179194925
