Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
11/01/2021,Ontario,GB+DR+MM,5700000912,G,-0.00633,3177355.033,2835779.79,767263.8393,669329.1332,95.08128733,95.08128733,32668.75406,29241.90684,4.048306358,4.156130498,4.175734887,4.244350249,3.705229548,3.793449299,0.264659253,0.196043891
11/01/2021,Ontario,GB+DR+MM,4150080502,A,0.01477,3405201.726,3237806.872,877090.6454,814443.3897,104.4192695,105.4957568,34936.31929,33192.40984,4.176770779,4.28441951,4.69348469,4.801133421,3.810765092,4.026062555,0.624362642,0.7212465
11/01/2021,Ontario,GB+DR+MM,5700000940,G,-0.00633,2435862.014,2547796.215,553163.3253,567414.736,95.08128733,95.08128733,25151.45105,26334.57593,4.312965611,4.401185362,4.509009502,4.558020475,3.793449299,3.862064661,0.264659253,0.215648281
11/01/2021,Ontario,GB+DR+MM,5620078067,A,0.01477,1870380.561,1601631.197,475330.509,405655.944,99.0368329,97.96034559,20310.08616,17636.09167,4.230595145,4.252124891,4.747309055,4.69348469,3.843059711,4.004532809,0.613597769,0.688951881
11/01/2021,Ontario,GB+DR+MM,5620080506,A,0.01477,1406147.56,1385604.952,192922.674,189587.7163,90.42493439,91.5014217,16788.89615,16301.2474,7.84759252,7.869122266,7.976770998,7.933711505,6.491218504,5.802266623,0.096883858,0.032294619
11/01/2021,Ontario,GB+DR+MM,5972100003,B,0.01688,1169741.129,1136860.647,402078.3321,397157.0908,98.64856552,98.64856552,12065.63486,11773.75714,2.959456966,2.90860719,3.040816607,3.010306742,2.776397772,2.69503813,0.305098656,0.315268611
11/01/2021,Ontario,GB+DR+MM,5700000060,G,-0.00633,1042820.192,759405.42,296458.5528,219723.0528,70.57580091,62.73404525,14414.12712,11923.38948,3.450372489,3.391559321,3.450372489,3.440570294,2.166285,2.950460566,0,0.10782414
11/01/2021,Ontario,GB+DR+MM,5835300200,F,0.02321,800499.298,710876.6181,156335.319,139571.7584,53.56150439,52.37124874,17902.63528,16336.25884,6.094108944,6.058401274,6.284549849,6.355965188,5.415663222,5.296637656,0.261856244,0.321369026
11/01/2021,Ontario,GB+DR+MM,14973377000,E,0.009495,672106.5948,530874.0755,115537.9466,94023.56684,71.98235967,68.85269186,9697.797326,8071.413286,6.071555555,5.894207712,6.259335623,6.061123329,5.622969835,5.26827415,0.302534555,0.229508973
11/01/2021,Ontario,GB+DR+MM,5856201170,AO MANUF.,0.009495,588199.913,683759.9184,145449.7718,171309.9943,64.48179517,66.49685127,9198.731093,10343.28296,4.07041332,4.020036918,4.191316686,4.171166125,3.435670649,3.344993125,0.151129207,0.191430329
11/01/2021,Ontario,GB+DR+MM,5620078068,A,0.01477,572811.8177,554167.0574,152496.2694,142999.4983,92.57790902,90.42493439,6697.904069,6612.861571,4.047592301,4.176770779,4.628895451,4.618130578,3.713881234,3.93994357,0.688951881,0.710481627
11/01/2021,Ontario,GB+DR+MM,65527300064,D,0.005275,523244.3038,336487.9909,90711.37872,58032.44429,84.0269288,52.78614758,6736.158792,6925.758016,6.215838195,6.248156244,6.635972839,6.452837225,5.429432323,5.450977689,0.377043911,0.215453664
