Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
11/01/2021,Ontario,WC+GM+TRU,5700000912,G,-0.00633,2167341.059,1965894.319,531902.9453,464010.0563,65.91476645,65.91476645,22647.49831,20271.84858,2.806474076,2.881222781,2.894813454,2.942380811,2.56863729,2.629795321,0.183474092,0.135906735
11/01/2021,Ontario,WC+GM+TRU,4150080502,A,0.01477,2360644.063,2244598.172,608039.9905,564610.0018,72.38828956,73.13456059,24219.47989,23010.52083,2.895531583,2.970158685,3.253741675,3.328368778,2.641799434,2.791053639,0.432837195,0.500001588
11/01/2021,Ontario,WC+GM+TRU,5700000940,G,-0.00633,1688652.734,1766250.723,383478.5205,393358.2606,65.91476645,65.91476645,17436.15456,18256.3517,2.989948169,3.051106199,3.125854904,3.159831587,2.629795321,2.677362678,0.183474092,0.149497408
11/01/2021,Ontario,WC+GM+TRU,5620078067,A,0.01477,1296634.714,1110325.168,329521.1956,281219.5497,68.65693443,67.9106634,14079.89546,12226.15823,2.932845134,2.947770554,3.291055227,3.253741675,2.664187564,2.776128218,0.425374485,0.477613457
11/01/2021,Ontario,WC+GM+TRU,5620080506,A,0.01477,974806.8267,960565.7368,133742.962,131431.0144,62.68676622,63.43303725,11638.84293,11300.78215,5.440315783,5.455241203,5.529868306,5.500017465,4.500014289,4.022400832,0.067164392,0.022388131
11/01/2021,Ontario,WC+GM+TRU,5972100003,B,0.01688,810918.9041,788124.626,278739.3829,275327.7497,68.38776944,68.38776944,8364.458728,8162.115534,2.051633083,2.016381656,2.108035367,2.086884511,1.924727944,1.86832566,0.211508565,0.218558851
11/01/2021,Ontario,WC+GM+TRU,5700000060,G,-0.00633,722931.4133,526455.1238,205518.8441,152322.2299,48.92642458,43.49015518,9992.542686,8265.847619,2.391958535,2.351186514,2.391958535,2.385163198,1.501769421,2.045396361,0,0.074748704
11/01/2021,Ontario,WC+GM+TRU,5835300200,F,0.02321,554943.3095,492812.7034,108378.9074,96757.62829,37.13132364,36.30618312,12410.93864,11325.05371,4.22471949,4.199965274,4.356741974,4.406250406,3.754389391,3.671875338,0.181530916,0.222787942
11/01/2021,Ontario,WC+GM+TRU,14973377000,E,0.009495,465935.5217,368026.5768,80096.27319,65181.50545,49.90151647,47.73188532,6722.963726,5595.478738,4.209084433,4.086138667,4.339262302,4.201852329,3.898103968,3.652212437,0.209731011,0.159106284
11/01/2021,Ontario,WC+GM+TRU,5856201170,AO MANUF.,0.009495,407767.5111,474014.1471,100832.5403,118760.0482,44.70177664,46.09870716,6376.987824,7170.444359,2.82179965,2.786876387,2.905615481,2.891646176,2.381766536,2.318904663,0.104769789,0.132708399
