Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
10/01/2021,Ontario,WC+GM+TRU,5700000912,G,0.01688,1938797.977,1758593.513,475814.5239,415080.8451,58.96414655,58.96414655,20259.3513,18134.21052,2.510535312,2.57740187,2.589559426,2.632110872,2.297778082,2.352487084,0.164127006,0.12157556
10/01/2021,Ontario,WC+GM+TRU,4150080502,A,0.01266,2067808.743,1966158.218,532613.2932,494570.7472,63.40860124,64.06229816,21215.07984,20156.09083,2.53634405,2.601713742,2.850118571,2.915488263,2.314087097,2.444826481,0.379144214,0.437976936
10/01/2021,Ontario,WC+GM+TRU,5700000940,G,0.01688,1510586.666,1580002.055,343041.2471,351879.1824,58.96414655,58.96414655,15597.53646,16331.24496,2.674662318,2.72937132,2.796237878,2.826631768,2.352487084,2.39503853,0.164127006,0.133733116
10/01/2021,Ontario,WC+GM+TRU,5620078067,A,0.01266,1135788.593,972590.5422,288644.4509,246334.5714,60.14011664,59.48641972,12333.29979,10709.51664,2.569028896,2.582102834,2.882803417,2.850118571,2.333698004,2.431752542,0.372607244,0.418366029
10/01/2021,Ontario,WC+GM+TRU,5620080506,A,0.01266,853883.1037,841408.6053,117152.2935,115127.1405,54.91054128,55.5642382,10195.05716,9898.932459,4.765450547,4.778524485,4.843894177,4.8177463,3.941792427,3.523426399,0.058832723,0.019610908
10/01/2021,Ontario,WC+GM+TRU,5972100003,B,0.01899,708851.3921,688926.1497,243655.4366,240673.2137,59.7800413,59.7800413,7311.653711,7134.778743,1.793401239,1.762586785,1.842704366,1.824215693,1.682469203,1.633166077,0.184886726,0.191049617
10/01/2021,Ontario,WC+GM+TRU,5700000060,G,0.01688,646699.3073,470941.1676,183847.1696,136260.0639,43.76720157,38.90417917,8938.843042,7394.225553,2.139729854,2.103257186,2.139729854,2.133651076,1.343409937,1.829712177,0,0.066866558
10/01/2021,Ontario,WC+GM+TRU,5835300200,F,0.036925,482093.5505,428119.0922,94151.54916,84055.84455,32.2569375,31.54011666,10781.70215,9838.365936,3.670122666,3.648618041,3.784814,3.82782325,3.261534791,3.189852708,0.157700583,0.193541625
10/01/2021,Ontario,WC+GM+TRU,14973377000,E,0.01266,410269.4003,324057.8061,70527.03311,57394.15842,43.93969611,42.02927454,5919.759639,4926.977229,3.706217846,3.597960624,3.82084314,3.699849774,3.432390754,3.21587631,0.184674085,0.140097582
10/01/2021,Ontario,WC+GM+TRU,5856201170,AO MANUF.,0.013715,359050.8223,417382.8583,88785.90259,104571.5801,39.36117818,40.591215,5615.118075,6313.778987,2.484674373,2.453923452,2.558476582,2.546176214,2.097212775,2.041861118,0.092252761,0.116853498
10/01/2021,Ontario,WC+GM+TRU,5620078068,A,0.01266,347839.9755,336517.9448,92603.35938,86836.44515,56.21793512,54.91054128,4067.302236,4015.660179,2.457900419,2.53634405,2.810896756,2.804359787,2.255254374,2.392530727,0.418366029,0.431439967
10/01/2021,Ontario,WC+GM+TRU,65527300064,D,0.030595,320741.2142,206262.287,55604.76729,35573.05164,51.50729587,32.3571474,4129.168219,4245.389809,3.810219194,3.830029693,4.067755673,3.955496183,3.328163733,3.341370732,0.231122481,0.132069989
10/01/2021,Ontario,WC+GM+TRU,5700000677,G,0.01688,286924.4002,295274.8175,49642.94838,51441.05091,48.63022396,49.23810176,3570.066317,3629.638341,3.513533681,3.489218569,3.562163905,3.507454903,3.06370411,3.191358448,0.06078778,0.03039389
10/01/2021,Ontario,WC+GM+TRU,62287170111,G,0.01688,284404.7467,291879.82,55425.68988,55832.96801,45.59083496,44.37507937,3815.04107,4012.601355,3.118413112,3.179200892,3.221752338,3.18527967,2.595638204,2.88134077,0.103339226,0.018236334
