Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
04/01/2021,West,GB+DR+MM,4150080502,A,0.026375,2694064.106,2522469.292,646604.647,596491.0456,105.131132,105.131132,28130.24363,26226.93209,4.566633547,4.632340504,4.840412536,5.048484569,4.347610355,4.336659196,0.624216096,0.646118416
04/01/2021,West,GB+DR+MM,5700000912,G,-0.009495,2557839.89,2375374.291,527639.8215,487074.9983,100.0828327,100.0828327,26698.13815,24719.41714,5.056268109,5.087543994,5.327325781,5.24392342,4.493302175,4.618405716,0.344034737,0.260632377
04/01/2021,West,GB+DR+MM,5700000940,G,-0.009495,2219777.805,2512014.463,461218.1815,516082.3393,100.0828327,100.0828327,23119.13435,26124.74692,5.014566929,5.077118699,5.22307283,5.191796945,4.628831011,4.733083962,0.364885327,0.271057672
04/01/2021,West,GB+DR+MM,67070045037,AO MANUF.,-0.003165,1871288.874,1909020.601,287950.4502,315383.8147,43.92517672,37.65015147,44094.6024,52994.67988,6.797944016,6.327317123,7.143070405,6.881611019,6.191358242,5.835773479,0.376501515,0.543835521
04/01/2021,West,GB+DR+MM,5620080506,A,0.026375,1638363.561,1611216.732,224233.7534,215470.6355,97.4653203,98.56043626,18437.37228,17905.14592,8.005297656,8.191467369,8.344783604,8.377637082,7.326325762,7.665811709,0.372339426,0.295681309
04/01/2021,West,GB+DR+MM,5972100003,B,-0.01266,1317091.543,1318688.307,407665.45,410572.6696,98.51502852,99.54122674,13657.67203,13648.43624,3.314620231,3.294096266,3.45828798,3.40697807,3.037546713,3.078594641,0.359169375,0.348907393
04/01/2021,West,GB+DR+MM,5620078067,A,0.026375,1296928.308,1144737.853,320353.1762,275085.463,102.9409001,102.9409001,13778.74899,12165.64318,4.435219632,4.555682387,4.522828909,4.851363696,4.347610355,4.314756876,0.569460298,0.602313777
04/01/2021,West,GB+DR+MM,5900000624,AO MANUF.,-0.003165,1189549.215,1202112.861,314980.1214,343119.4263,73.20862787,76.34614049,16888.18461,16486.583,3.953265905,3.660431393,4.036932908,3.775473523,3.608139516,3.430347134,0.219625884,0.334668013
04/01/2021,West,GB+DR+MM,5700000913,G,-0.009495,1175084.006,1170854.464,398173.2946,392810.5228,87.57247859,87.57247859,14069.97823,13986.57587,3.075462046,3.106737931,3.096312636,3.117163226,2.971209095,3.012910275,0.156379426,0.093827656
04/01/2021,West,GB+DR+MM,5700000060,G,-0.009495,973596.4135,695169.1006,271537.2354,197755.3371,67.76441796,60.46671141,15024.93526,12055.81122,3.74268093,3.669703865,3.784382111,3.648853275,2.376967276,3.732255635,0.031275885,0.156379426
04/01/2021,West,GB+DR+MM,14973377000,E,-0.007385,927893.0424,800408.3431,157868.5208,124767.8784,88.08442838,87.02317021,11204.76379,9725.3699,6.240198059,6.813277472,6.696539073,6.845115217,5.709568972,6.622251001,0.48817876,0.191026471
04/01/2021,West,GB+DR+MM,69033500001,AO MANUF.,-0.003165,874704.0066,831122.9104,124161.8329,121101.7122,21.96258836,14.64172557,41304.30784,60700.41088,7.362696288,7.174445531,7.362696288,7.101236903,7.362696288,7.582322172,0.062750252,0.156875631
04/01/2021,West,GB+DR+MM,5835300200,F,0.026375,862176.2496,809263.2413,154595.3854,146555.1832,57.80241238,58.93579302,16803.50129,15494.44666,6.324263943,6.256261105,6.505604845,6.539606264,5.893579302,5.757573626,0.34001419,0.408017029
04/01/2021,West,GB+DR+MM,2100002685,AO MANUF.,-0.003165,694950.6793,808920.8253,163475.9119,189768.2676,40.7876641,50.20020197,17893.23449,16804.51761,4.444809549,4.455267924,4.497101426,4.486643051,3.461722261,4.256558792,0.052291877,0.11504213
