Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
12/01/2021,West,WC+GM+TRU,4150080502,A,0.020045,2244904.071,2127194.237,545280.6435,503019.9253,88.65691205,88.65691205,23722.18854,22117.12903,3.851034617,3.906445187,4.081911992,4.257378798,3.666332717,3.657097622,0.526400415,0.544870605
12/01/2021,West,WC+GM+TRU,5700000912,G,0.00633,2035456.656,1890255.692,419880.8498,387600.5106,79.64308819,79.64308819,21245.62339,19671.01317,4.023635185,4.04852365,4.239335215,4.172965975,3.575642814,3.675196674,0.273773116,0.207403875
12/01/2021,West,WC+GM+TRU,5700000940,G,0.00633,1766436.408,1998990.077,367024.3869,410683.7323,79.64308819,79.64308819,18397.55337,20789.33486,3.990450565,4.040227495,4.156373665,4.1314852,3.683492829,3.766454379,0.290365426,0.215700031
12/01/2021,West,WC+GM+TRU,67070045037,AO MANUF.,0.01688,1541759.311,1572846.57,237243.0541,259845.4677,36.19005656,31.02004848,36329.64677,43662.44157,5.600842086,5.21309148,5.88519253,5.669775527,5.101074638,4.808107514,0.310200485,0.448067367
12/01/2021,West,WC+GM+TRU,5620080506,A,0.020045,1381629.317,1358736.44,189095.9583,181706.0353,82.19234555,83.11585505,15548.20595,15099.38033,6.750854449,6.907851064,7.037142394,7.064847679,6.178278559,6.464566504,0.31399323,0.249347565
12/01/2021,West,WC+GM+TRU,5972100003,B,0.024265,1124421.651,1125784.834,348030.3712,350512.31,84.10382077,84.97990224,11659.76824,11651.8835,2.829743136,2.812221507,2.952394542,2.908590468,2.59320114,2.628244399,0.306628513,0.297867699
12/01/2021,West,WC+GM+TRU,5620078067,A,0.020045,1093697.525,965355.563,270153.3107,231979.122,86.80989305,86.80989305,11619.59654,10259.26704,3.740213477,3.841799522,3.814094237,4.091147087,3.666332717,3.638627432,0.48022494,0.507930225
12/01/2021,West,WC+GM+TRU,5900000624,AO MANUF.,0.01688,980072.3999,990423.6178,259512.8639,282696.9034,60.31676093,62.90176497,13914.21508,13583.33456,3.25710509,3.015838046,3.326038531,3.110621528,2.972754646,2.826271083,0.180950283,0.275733764
12/01/2021,West,WC+GM+TRU,5700000913,G,0.00633,935098.6242,931732.8741,316855.0487,312587.5065,69.68770217,69.68770217,11196.49081,11130.12157,2.447365731,2.472254196,2.463958041,2.480550351,2.364404181,2.397588801,0.124442325,0.074665395
12/01/2021,West,WC+GM+TRU,5700000060,G,0.00633,774760.4954,553195.9129,216081.6536,157368.1053,53.92500763,48.11769912,11956.41861,9593.673665,2.978319652,2.920246567,3.011504272,2.903654257,1.891523345,2.970023497,0.024888465,0.124442325
12/01/2021,West,WC+GM+TRU,14973377000,E,0.02743,788168.7677,679881.0084,134096.3148,105980.0435,74.82047197,73.9190205,9517.524615,8260.901266,5.300534641,5.787318434,5.688158772,5.814361978,4.849808906,5.62505717,0.414667676,0.162261265
12/01/2021,West,WC+GM+TRU,69033500001,AO MANUF.,0.01688,720670.6912,684764.1234,102297.2265,99775.98592,18.09502828,12.06335219,34030.71651,50011.21149,6.066142813,5.911042571,6.066142813,5.85072581,6.066142813,6.247093096,0.051700081,0.129250202
12/01/2021,West,WC+GM+TRU,5835300200,F,0.02954,784001.4476,735886.1404,140577.992,133266.8069,52.56138174,53.59199707,15279.90286,14089.54215,5.750833532,5.688996612,5.915731984,5.946650444,5.359199707,5.235525868,0.309184598,0.371021518
12/01/2021,West,WC+GM+TRU,2100002685,AO MANUF.,0.01688,572571.5014,666471.7732,134688.1888,156350.5227,33.60505252,41.36006463,14742.27804,13845.28164,3.662089056,3.670705736,3.705172457,3.696555777,2.852121124,3.506988814,0.043083401,0.094783481
12/01/2021,West,WC+GM+TRU,5700000925,G,0.00633,419917.3529,398942.1841,69654.51755,64510.07182,19.08115655,19.91077205,18263.15566,16649.55351,5.002581477,5.127023802,5.176800732,5.168504577,3.343350473,3.260388923,0.074665395,0.01659231
12/01/2021,West,WC+GM+TRU,11210135802,B,0.024265,439732.4465,458272.9586,37162.49972,38029.82037,43.80407332,48.18448065,8730.151812,8385.851796,10.36404375,10.55678167,10.6969547,10.5743033,9.330267617,10.38156538,0.210259552,0.078847332
12/01/2021,West,WC+GM+TRU,5900000641,AO MANUF.,0.01688,417062.8284,277654.4222,114857.7612,85393.88511,38.7750606,34.46672053,9352.544616,6901.960786,3.127854888,2.800421043,3.343271891,2.989988006,2.550537319,2.533303959,0.232650364,0.361900566
12/01/2021,West,WC+GM+TRU,5620081879,A,0.020045,446523.3081,517450.6847,62214.98803,69402.66248,48.02249403,61.87513654,8602.490998,7755.632786,6.630798214,6.889380874,7.009437109,7.138728439,6.048987229,6.298334794,0.360168705,0.27705285
12/01/2021,West,WC+GM+TRU,11210000155,B,0.024265,411625.1248,430269.8906,60616.07666,67050.89503,50.81272505,52.56488798,7096.259877,7204.017898,5.948593157,5.624443014,6.044962118,5.834702566,5.641964643,5.256488798,0.210259552,0.315389328
12/01/2021,West,WC+GM+TRU,65527300064,D,0.015825,385796.719,296813.9282,64805.95581,48620.57309,75.46920181,64.42492838,4682.771937,4267.691327,5.476118912,5.61417233,5.789039993,5.789039993,4.960719485,5.209215637,0.340531764,0.276106836
12/01/2021,West,WC+GM+TRU,65527300063,D,0.015825,340425.003,288570.2985,57263.63741,47445.27833,74.54884569,63.50457226,4201.425686,4201.425686,5.466915351,5.595765208,5.752225748,5.77063287,4.960719485,5.172401393,0.331328203,0.266903275
12/01/2021,West,WC+GM+TRU,62287170111,G,0.00633,281292.7506,306445.0334,53974.78456,56237.97565,71.34693317,73.00616418,3287.766234,3473.600107,4.322296765,4.521404486,4.455035246,4.529700641,3.9655621,4.488219866,0.223996186,0.11614617
12/01/2021,West,WC+GM+TRU,5620078068,A,0.020045,297263.8556,295710.5126,75543.07715,73501.19764,72.03374104,72.03374104,3821.482313,3786.388952,3.638627432,3.712508192,3.767918762,3.980325947,3.537041387,3.546276482,0.526400415,0.563340795
12/01/2021,West,WC+GM+TRU,5700000898,G,0.00633,248230.084,273348.3525,28220.20092,29784.85575,34.01423558,35.67346659,6095.185093,6395.505905,7.300616418,7.615870308,7.516316448,7.624166463,6.487593226,4.687327586,0.174219255,0
