Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
02/01/2021,West,GB+DR+MM,4150080502,A,0.00844,2655762.015,2486606.801,637411.7291,588010.6036,103.63646,103.63646,27730.30988,25854.05813,4.501708732,4.566481519,4.771595346,4.976709174,4.28579944,4.275003976,0.615341481,0.636932411
02/01/2021,West,GB+DR+MM,5700000912,G,0.003165,2571998.885,2388523.242,530560.5866,489771.2157,100.636844,100.636844,26845.92644,24856.25217,5.084257224,5.115706238,5.356815343,5.272951306,4.518174976,4.643971031,0.345939151,0.262075115
02/01/2021,West,GB+DR+MM,5700000940,G,0.003165,2232065.447,2525919.79,463771.2678,518939.1277,100.636844,100.636844,23247.11097,26269.36119,5.042325205,5.105223233,5.251985297,5.220536283,4.654454036,4.759284082,0.36690516,0.272558119
02/01/2021,West,GB+DR+MM,67070045037,AO MANUF.,0.00211,1867754.979,1905415.45,287406.6609,314788.218,43.84222481,37.57904984,44011.33054,52894.60037,6.785106221,6.315368098,7.129580844,6.868615221,6.179665973,5.824752725,0.375790498,0.542808498
02/01/2021,West,GB+DR+MM,5620080506,A,0.00844,1615070.593,1588309.716,221045.7737,212407.243,96.0796348,97.15918126,18175.24418,17650.5846,7.891484612,8.075007509,8.226144014,8.258530407,7.222165807,7.556825209,0.367045796,0.291477544
02/01/2021,West,GB+DR+MM,5972100003,B,0.00211,1341190.065,1342816.045,415124.4113,418084.8236,100.3175354,101.3625097,13907.56332,13898.15855,3.375267077,3.354367591,3.521563483,3.469314767,3.093124009,3.134922982,0.365741015,0.355291271
02/01/2021,West,GB+DR+MM,5620078067,A,0.00844,1278489.598,1128462.868,315798.646,271174.5135,101.4773671,101.4773671,13582.85354,11992.68161,4.372163157,4.490913267,4.458526874,4.782390811,4.28579944,4.253413046,0.561364158,0.593750552
02/01/2021,West,GB+DR+MM,5900000624,AO MANUF.,0.00211,1187302.773,1199842.693,314385.2871,342471.4514,73.07037469,76.20196217,16856.29158,16455.44838,3.945800233,3.653518734,4.029309233,3.768343609,3.60132561,3.423868985,0.219211124,0.334035999
02/01/2021,West,GB+DR+MM,5700000913,G,0.003165,1181588.717,1177335.762,400377.3941,394984.9366,88.05723852,88.05723852,14147.86299,14063.99895,3.092486353,3.123935366,3.113452362,3.134418371,2.987656307,3.029588325,0.157245069,0.094347041
02/01/2021,West,GB+DR+MM,5700000060,G,0.003165,978985.7839,699017.2287,273040.3374,198850.0174,68.1395298,60.80142659,15108.10621,12122.5465,3.763398646,3.690017614,3.805330664,3.669051605,2.390125045,3.752915642,0.031449014,0.157245069
02/01/2021,West,GB+DR+MM,14973377000,E,0.013715,948820.4061,818460.463,161429.0303,127581.8479,90.07105268,88.98585928,11457.47198,9944.712371,6.380937226,6.966941665,6.847570391,6.999497468,5.838340523,6.771606852,0.499188967,0.195334813
02/01/2021,West,GB+DR+MM,69033500001,AO MANUF.,0.00211,873052.1438,829553.3497,123927.3555,120873.0138,21.92111241,14.61407494,41226.3054,60585.77924,7.348791968,7.160896719,7.348791968,7.087826345,7.348791968,7.568003093,0.06263175,0.156579374
02/01/2021,West,GB+DR+MM,5835300200,F,0.00844,828032.956,777215.3712,148473.2083,140751.4085,55.51336216,56.60185946,16138.06093,14880.84655,6.073814919,6.008505081,6.247974486,6.280629405,5.660185946,5.52956627,0.326549189,0.391859027
02/01/2021,West,GB+DR+MM,2100002685,AO MANUF.,0.00211,693638.2774,807393.1928,163167.1905,189409.8937,40.71063733,50.10539978,17859.44344,16772.78258,4.436415606,4.446854231,4.488608731,4.478170106,3.45518486,4.248520357,0.052193125,0.114824875
02/01/2021,West,GB+DR+MM,5700000925,G,0.003165,530606.7118,504102.5313,88015.3065,81514.79535,24.11091055,25.159211,23077.28629,21038.3419,6.321251765,6.478496834,6.541394861,6.530911857,4.224650848,4.119820802,0.094347041,0.020966009
02/01/2021,West,GB+DR+MM,11210135802,B,0.00211,524505.0091,546619.8008,44326.76599,45361.29057,52.24871636,57.473588,10413.16917,10002.49426,12.36204629,12.59194064,12.75913654,12.61284013,11.12897659,12.38294578,0.250793839,0.094047689
