Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
02/01/2021,West,WC+GM+TRU,4150080502,A,0.00844,1856116.656,1737893.785,445488.1576,410961.6257,72.43170077,72.43170077,19380.76143,18069.44585,3.146252002,3.191521815,3.334876223,3.478230631,2.995352625,2.987807657,0.430063223,0.445153161
02/01/2021,West,WC+GM+TRU,5700000912,G,0.003165,1797574.46,1669343.016,370809.7096,342301.9479,70.33526397,70.33526397,18762.66432,17372.07754,3.553396148,3.575375918,3.743887488,3.685274768,3.157760289,3.245679369,0.24177747,0.18316475
02/01/2021,West,WC+GM+TRU,5700000940,G,0.003165,1559994.393,1765369.701,324130.5394,362687.452,70.33526397,70.33526397,16247.44598,18359.70187,3.524089788,3.568049328,3.670621588,3.648641818,3.253005959,3.326271859,0.25643065,0.19049134
02/01/2021,West,WC+GM+TRU,67070045037,AO MANUF.,0.00211,1305377.178,1331698.147,200869.0113,220006.0288,30.64140659,26.26406279,30759.59487,36968.12749,4.742122448,4.413821663,4.982876357,4.800487032,4.318979214,4.070929732,0.262640628,0.379369796
02/01/2021,West,WC+GM+TRU,5620080506,A,0.00844,1128775.625,1110072.402,154489.2728,148451.7887,67.15022259,67.90471947,12702.70952,12336.02404,5.515372215,5.643636685,5.749266248,5.771901155,5.047584147,5.281478181,0.25652894,0.203714158
02/01/2021,West,WC+GM+TRU,5972100003,B,0.00211,937360.0511,938496.4514,290131.1675,292200.2048,70.11209864,70.842433,9720.020008,9713.446999,2.358979985,2.344373298,2.461226796,2.424710078,2.161789708,2.191003082,0.255617026,0.248313683
02/01/2021,West,WC+GM+TRU,5620078067,A,0.00844,893538.5866,788684.6457,220712.2187,189524.3355,70.922707,70.922707,9493.079782,8381.705873,3.055712376,3.138707033,3.116072127,3.342421192,2.995352625,2.972717719,0.392338379,0.414973286
02/01/2021,West,WC+GM+TRU,5900000624,AO MANUF.,0.00211,829807.9569,838572.1287,219724.4197,239353.8884,51.06901098,53.25768288,11780.89128,11500.74127,2.757726593,2.553450549,2.816091177,2.633701852,2.516972684,2.392947943,0.153207033,0.233458336
02/01/2021,West,WC+GM+TRU,5700000913,G,0.003165,825814.3935,822841.9959,279824.4517,276055.6539,61.54335597,61.54335597,9887.96586,9829.35314,2.161344049,2.183323819,2.175997229,2.190650409,2.088078149,2.117384509,0.10989885,0.06593931
02/01/2021,West,WC+GM+TRU,5700000060,G,0.003165,684214.854,488544.3476,190828.3631,138976.6203,47.62283498,42.49422198,10559.0815,8472.468672,2.630245809,2.578959679,2.659552169,2.564306499,1.670462519,2.622919219,0.02197977,0.10989885
02/01/2021,West,WC+GM+TRU,14973377000,E,0.013715,663132.2193,572023.4302,112823.0279,89167.17372,62.95081417,62.19237063,8007.64694,6950.376639,4.45964804,4.869207554,4.785778764,4.89196086,4.080426268,4.732687716,0.34888403,0.136519838
