Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
01/01/2021,West,GB+DR+MM,4150080502,A,0.017935,2569302.419,2405654.134,616660.4871,568867.6387,100.2625258,100.2625258,26827.53645,25012.36697,4.355153463,4.417817541,4.61625379,4.814690039,4.146273201,4.135829188,0.595308747,0.616196773
01/01/2021,West,GB+DR+MM,5700000912,G,-0.00633,2501350.431,2322914.553,515986.9856,476318.0298,97.87252032,97.87252032,26108.5143,24173.49301,4.944601287,4.97518645,5.209672696,5.128112263,4.39406836,4.516409011,0.336436789,0.254876355
01/01/2021,West,GB+DR+MM,5700000940,G,-0.00633,2170754.389,2456537.051,451032.2563,504684.7486,97.87252032,97.87252032,22608.55219,25547.78632,4.90382107,4.964991395,5.107722154,5.077136992,4.526604065,4.628554607,0.356826897,0.265071409
01/01/2021,West,GB+DR+MM,67070045037,AO MANUF.,-0.009495,1818363.233,1855027.794,279806.3509,306463.8179,42.68284146,36.58529268,42847.47528,51495.83196,6.605677845,6.148361687,6.941043028,6.686978495,6.01624813,5.670720365,0.365852927,0.528454228
01/01/2021,West,GB+DR+MM,5620080506,A,0.017935,1562491.201,1536601.537,213849.5234,205492.2242,92.95171659,93.9961179,17583.54046,17075.96142,7.634573576,7.812121799,7.958337982,7.989670022,6.987044764,7.31080917,0.355096445,0.281988354
01/01/2021,West,GB+DR+MM,5972100003,B,-0.00844,1305723.037,1307306.018,404146.6762,407028.802,97.66469376,98.68203432,13539.78551,13530.62945,3.286010009,3.265663198,3.428437687,3.377570659,3.011328058,3.05202168,0.356069196,0.34589579
01/01/2021,West,GB+DR+MM,5620078067,A,0.017935,1236867.761,1091725.222,305517.6708,262346.2983,98.17372314,98.17372314,13140.65728,11602.25415,4.229825306,4.34470945,4.31337741,4.626697803,4.146273201,4.114941161,0.543088681,0.574420721
01/01/2021,West,GB+DR+MM,5900000624,AO MANUF.,-0.009495,1155905.208,1168113.517,306071.5423,333414.9835,71.1380691,74.18684349,16410.53628,16020.29316,3.841455731,3.556903455,3.922756382,3.668691849,3.506090549,3.333326666,0.213414207,0.325202602
01/01/2021,West,GB+DR+MM,5700000913,G,-0.00633,1149132.476,1144996.342,389379.7051,384135.3692,85.63845528,85.63845528,13759.24515,13677.68471,3.007540989,3.038126152,3.027931097,3.048321206,2.905590447,2.946370664,0.152925813,0.091755488
01/01/2021,West,GB+DR+MM,5700000060,G,-0.00633,952094.7021,679816.4091,265540.3817,193387.9441,66.2678523,59.13131436,14693.11211,11789.56068,3.660024458,3.588659078,3.700804675,3.56826897,2.324472358,3.649829404,0.030585163,0.152925813
01/01/2021,West,GB+DR+MM,14973377000,E,0.017935,913154.5306,787694.7788,155360.9613,122786.0844,86.68530873,85.64090742,11026.78903,9570.893605,6.141079703,6.70505641,6.590172266,6.73638845,5.618879048,6.517064174,0.480424603,0.187992236
01/01/2021,West,GB+DR+MM,69033500001,AO MANUF.,-0.009495,849964.7634,807616.2709,120650.1652,117676.5939,21.34142073,14.22761382,40136.09859,58983.62187,7.154457235,6.971530772,7.154457235,6.900392703,7.154457235,7.367871443,0.060975488,0.15243872
01/01/2021,West,GB+DR+MM,5835300200,F,0.026375,801075.9493,751912.7551,143639.5924,136169.1795,53.70609825,54.759159,15612.67868,14396.39351,5.876078985,5.81289534,6.044568705,6.076160528,5.4759159,5.34954861,0.315918225,0.37910187
01/01/2021,West,GB+DR+MM,2100002685,AO MANUF.,-0.009495,675295.3973,786042.127,158852.3246,184401.0539,39.63406707,48.78039024,17387.16035,16329.23563,4.319097053,4.329259634,4.369909959,4.359747378,3.36381441,4.136170589,0.050812907,0.111788394
01/01/2021,West,GB+DR+MM,5700000925,G,-0.00633,516031.8439,490255.6883,85597.67506,79275.72195,23.44862466,24.46813008,22443.39232,20460.45427,6.147617683,6.300543496,6.361713821,6.351518767,4.108606843,4.006656301,0.091755488,0.020390108
01/01/2021,West,GB+DR+MM,11210135802,B,-0.00844,510634.7646,532164.7429,43154.56921,44161.73637,50.867028,55.9537308,10137.79868,9737.98384,12.03513882,12.25895375,12.42172824,12.27930056,10.83467696,12.05548564,0.244161734,0.09156065
01/01/2021,West,GB+DR+MM,5900000641,AO MANUF.,-0.009495,491887.2276,327467.841,135464.16,100714.2295,45.73161585,40.6503252,11030.46574,8140.227621,3.689017012,3.302838923,3.943081544,3.526415711,3.008124065,2.987798902,0.274389695,0.426828415
01/01/2021,West,GB+DR+MM,5620081879,A,0.017935,504975.3442,585187.4536,70359.22745,78487.80285,54.30886812,69.97488777,9728.598203,8770.882201,7.498801406,7.791233773,7.927005943,8.073222126,6.840828581,7.122816934,0.407316511,0.313320393
01/01/2021,West,GB+DR+MM,11210000155,B,-0.00844,477995.4274,499646.4692,70389.79335,77862.15976,59.00575248,61.0404336,8240.458536,8365.591425,6.907742402,6.531326395,7.019649864,6.77548813,6.551673206,6.10404336,0.244161734,0.366242602
01/01/2021,West,GB+DR+MM,65527300064,D,0.020045,438701.7003,337516.5433,73692.91029,55287.99763,85.81842594,73.2596319,5324.928673,4852.92733,6.227068712,6.384053637,6.582901209,6.582901209,5.640991656,5.923564522,0.387229483,0.313969851
01/01/2021,West,GB+DR+MM,65527300063,D,0.020045,387108.0812,328142.4501,65116.30053,53951.53263,84.77185977,72.21306573,4777.574566,4777.574566,6.21660305,6.363122314,6.541038563,6.561969886,5.640991656,5.881701875,0.376763821,0.303504189
01/01/2021,West,GB+DR+MM,62287170111,G,-0.00633,345677.5857,376586.9511,66329.02263,69110.23341,87.67746612,89.71647696,4040.299979,4268.669194,5.311623238,5.556304539,5.474744105,5.566499593,4.873235908,5.515524322,0.275266463,0.142730759
01/01/2021,West,GB+DR+MM,5620078068,A,0.017935,336177.1157,334420.4327,85432.02716,83122.85586,81.46330218,81.46330218,4321.732621,4282.045371,4.114941161,4.198493266,4.261157345,4.501369646,4.000057017,4.01050103,0.595308747,0.637084799
01/01/2021,West,GB+DR+MM,5700000898,G,-0.00633,305047.2362,335914.8018,34679.49637,36602.28359,41.79972222,43.83873306,7490.306321,7859.367283,8.971647696,9.359059756,9.236719105,9.36925481,7.972532384,5.760205623,0.214096138,0
01/01/2021,West,GB+DR+MM,5700000677,G,-0.00633,273739.2443,296517.0344,44641.08383,47458.99681,82.57993902,86.6579607,3379.660467,3493.845074,6.249568225,6.371908875,6.473859417,6.4330792,5.342208401,5.831571002,0.203901084,0.101950542
01/01/2021,West,GB+DR+MM,5620097262,A,0.017935,274632.6353,285755.5092,57864.01018,60552.29915,21.93242751,21.93242751,13169.90052,13592.88305,4.960906223,4.929574183,5.201118524,5.211562537,4.020945044,4.240269319,0.219324275,0.30287638
01/01/2021,West,GB+DR+MM,65527300065,D,0.020045,271217.623,214324.1928,45529.81466,35021.24375,62.7939702,50.23517616,4553.609406,4434.300862,6.237534373,6.40498496,6.666626503,6.718954811,5.620060333,5.892167537,0.42909213,0.387229483
01/01/2021,West,GB+DR+MM,5620083923,A,0.017935,269542.2233,253343.559,66494.94261,60691.20453,81.46330218,80.41890087,3467.412349,3295.086133,4.229825306,4.355153463,4.438705568,4.668473856,4.083609122,4.104497148,0.60575276,0.574420721
01/01/2021,West,GB+DR+MM,6840000131,AO MANUF.,-0.009495,251837.9109,0,61473.45428,0,35.56903455,0,7229.660337,0,4.166658333,0,4.593486748,0,3.445115061,0,0.376015508,0
01/01/2021,West,GB+DR+MM,5835300100,F,0.026375,230861.4552,238481.4027,41773.86689,43636.73136,50.546916,50.546916,4815.64681,4923.059006,5.823425948,5.760242303,6.02350749,6.02350749,5.370609825,5.296895573,0.326448833,0.389632478
01/01/2021,West,GB+DR+MM,5900000633,AO MANUF.,-0.009495,221665.2071,282617.3209,56603.54532,83255.93104,32.52026016,46.74787398,6843.482247,6189.012012,3.98373187,3.445115061,4.156495752,3.587391199,3.434952479,3.079262134,0.243901951,0.274389695
01/01/2021,West,GB+DR+MM,14973377101,E,0.017935,218725.8331,161005.9504,37236.03991,25525.16802,55.35326943,49.08686157,4146.273201,3395.348659,6.13063569,6.590172266,6.684168384,6.778164502,5.6606551,6.015751546,0.563976707,0.250656314
01/01/2021,West,GB+DR+MM,8.85062E+11,AO MANUF.,-0.009495,207691.6578,158015.9441,94458.14441,69757.99056,34.55277642,22.35767886,6045.719615,7307.912213,2.235767886,2.306905955,2.449182093,2.510157581,2.073166585,2.002028516,0.579267134,0.406503252
01/01/2021,West,GB+DR+MM,4973377002,E,0.017935,199501.5382,46300.39887,34221.89772,7218.901855,54.30886812,28.19883537,3855.929637,1701.329734,6.088859637,6.694612397,6.517064174,7.133260947,5.650211087,6.412624043,0.522200655,0.626640786
01/01/2021,West,GB+DR+MM,65527300118,D,0.020045,193546.7146,160617.5567,32644.49197,26351.48959,48.14204382,39.76951446,4177.892151,4177.892151,6.206137388,6.384053637,6.70848915,6.687557826,5.567732024,5.944495846,0.460489115,0.42909213
01/01/2021,West,GB+DR+MM,6810000313,AO MANUF.,-0.009495,185704.9131,231505.6345,50455.18364,63082.1909,67.07303658,73.17058536,2813.002504,3197.148077,3.739829918,3.729667337,4.115845427,4.034544776,3.313001504,3.119912459,0.46747874,0.335365183
01/01/2021,West,GB+DR+MM,415008050,A,0.017935,189635.0791,323526.2826,59331.39402,124249.2906,25.06563144,39.68724978,7761.990536,8423.096565,3.342084192,2.715443406,3.624072546,2.704999393,2.809439524,2.746775445,0.365540459,0.250656314
01/01/2021,West,GB+DR+MM,80040512395,AO MANUF.,-0.009495,172088.0704,118208.0969,62394.18415,43691.98578,25.40645325,21.34142073,6950.189351,5670.720365,2.804872439,2.754059532,2.835360183,2.774384695,2.571133069,2.408531768,0.132113557,0.071138069
01/01/2021,West,GB+DR+MM,5620077378,A,0.017935,172517.3416,168951.7555,42002.68748,40597.96772,61.61967729,60.57527598,2928.501273,2894.03603,4.292489384,4.34470945,4.752025961,4.866910105,4.073165109,4.094053135,0.710192891,0.710192891
01/01/2021,West,GB+DR+MM,5517000301,AO MANUF.,-0.009495,166101.2938,237023.9162,71364.69466,95630.90629,34.55277642,54.87793902,4874.99025,4382.105057,2.367881443,2.520320162,2.398369187,2.499995,1.737801402,2.672758882,0.050812907,0.091463232
01/01/2021,West,GB+DR+MM,5620093161,A,0.017935,166984.1034,115511.8293,42406.87079,31253.7092,31.3320393,25.06563144,5599.035423,4905.552953,4.114941161,3.864284847,4.146273201,4.020945044,3.853840834,3.415192284,0.114884144,0.281988354
01/01/2021,West,GB+DR+MM,62811029307,AO MANUF.,-0.009495,161733.4164,81122.80523,29068.03129,15156.47375,24.39019512,19.30890447,6795.718115,4348.568538,5.650395203,5.436980996,5.955272642,5.955272642,5.264217113,4.522348679,0.447153577,0.365852927
01/01/2021,West,GB+DR+MM,1121062505,B,-0.00844,155066.1002,169986.4168,48285.01766,52653.47802,72.23117976,77.31788256,2194.403588,2237.131891,3.265663198,3.286010009,3.499651526,3.428437687,2.919767407,3.041848274,0.406936224,0.386589413
01/01/2021,West,GB+DR+MM,1121054570,B,-0.00844,155024.3892,177513.7196,48665.50303,55718.72513,63.07511472,76.300542,2515.883205,2379.55957,3.245316386,3.245316386,3.601385582,3.499651526,2.899420596,2.950287624,0.518843686,0.478150063
01/01/2021,West,GB+DR+MM,19029800025,K,-0.01055,151947.4381,170895.6925,39883.20773,46765.0838,42.6373794,43.6525551,3631.283479,3976.443217,3.867819417,3.705391305,3.969336987,3.918578202,3.674936034,3.461749137,0.365463252,0.456829065
01/01/2021,West,GB+DR+MM,5620099629,A,0.017935,152630.8962,108877.7922,37914.90076,26350.24505,37.59844716,40.73165109,4217.29249,2760.352662,4.208937279,4.31337741,4.856466092,4.678917869,4.031389057,4.062721096,0.825077035,0.616196773
01/01/2021,West,GB+DR+MM,6720000204,AO MANUF.,-0.009495,147265.9656,120193.8653,38975.5318,33956.2329,43.69909959,39.63406707,3417.676091,3067.067036,3.841455731,3.59755378,3.912593801,3.821130569,3.567066036,3.302838923,0.213414207,0.436990996
01/01/2021,West,GB+DR+MM,5620094201,A,0.017935,150405.2771,192406.9201,38773.39863,48765.18597,51.17566419,63.70847991,3039.207812,3180.201989,4.052277083,4.125385175,4.208937279,4.511813659,3.916504913,3.895616886,0.574420721,0.657972825
01/01/2021,West,GB+DR+MM,5150024808,AO MANUF.,-0.009495,143108.4536,140334.0689,31409.49002,32446.07332,49.79664837,50.8129065,2949.181093,2808.937471,4.634137073,4.400397703,4.76625063,4.481698353,3.892268638,4.024382195,0.15243872,0.203251626
01/01/2021,West,GB+DR+MM,5700000949,G,-0.00633,127121.1113,170508.2035,27542.95843,35392.13066,46.89724932,55.05329268,2789.366829,3141.096199,4.71011504,4.914016124,5.0975271,5.189282588,4.261532656,4.424653523,0.479167547,0.367021951
