Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
07/01/2021,West,WC+GM+TRU,4150080502,A,0.003165,1825041.53,1708797.948,438029.79,404081.3017,71.21904844,71.21904844,19056.28851,17766.92699,3.093577416,3.138089322,3.279043688,3.419998055,2.945204399,2.937785748,0.4228631,0.437700402
07/01/2021,West,WC+GM+TRU,5700000912,G,0.00633,1697966.677,1576840.836,350262.281,323334.2007,66.43782337,66.43782337,17722.98145,16409.45031,3.356494202,3.377256022,3.536429973,3.481065121,2.982781445,3.065828724,0.228380018,0.173015165
07/01/2021,West,WC+GM+TRU,5700000940,G,0.00633,1473551.475,1667546.459,306169.7122,342590.0965,66.43782337,66.43782337,15347.1372,17342.34808,3.328811775,3.370335415,3.467223907,3.446462088,3.072749331,3.141955397,0.242221231,0.179935772
07/01/2021,West,WC+GM+TRU,67070045037,AO MANUF.,-0.00633,1243754.338,1268832.775,191386.6034,209620.2212,29.19492007,25.0242172,29307.52904,35222.97594,4.518261439,4.205458724,4.747650096,4.57387081,4.115093495,3.878753666,0.250242172,0.361460915
07/01/2021,West,WC+GM+TRU,5620080506,A,0.003165,1109877.651,1091487.557,151902.8117,145966.4072,66.02599282,66.76785791,12490.04062,12129.49419,5.423033792,5.549150857,5.65301197,5.675267922,4.963077438,5.193055615,0.25223413,0.200303574
07/01/2021,West,WC+GM+TRU,5972100003,B,0.0047475,896404.9017,897491.6504,277454.7522,279433.389,67.04875978,67.74718436,9295.332749,9289.046928,2.255911397,2.241942905,2.353690838,2.318769609,2.06733676,2.095273743,0.244448603,0.237464358
07/01/2021,West,WC+GM+TRU,5620078067,A,0.003165,878578.9537,775480.4787,217017.0523,186351.317,69.73531826,69.73531826,9334.146536,8241.379261,3.004553606,3.086158766,3.063902813,3.286462339,2.945204399,2.922948446,0.385769846,0.408025798
07/01/2021,West,WC+GM+TRU,5900000624,AO MANUF.,-0.00633,790635.2766,798985.7188,209351.906,228054.7279,48.65820011,50.74355154,11224.75165,10957.82666,2.627542806,2.432910005,2.683152177,2.509372891,2.398154148,2.279984234,0.1459746,0.222437486
07/01/2021,West,WC+GM+TRU,5700000913,G,0.00633,780054.0969,777246.4068,264318.7279,260758.7679,58.13309545,58.13309545,9340.050669,9284.685817,2.041578947,2.062340767,2.055420161,2.069261374,1.972372881,2.000055308,0.103809099,0.062285459
07/01/2021,West,WC+GM+TRU,5700000060,G,0.00633,646300.9172,461472.9688,180254.1195,131275.6025,44.98394291,40.13951829,9973.978234,8002.989474,2.48449777,2.436053524,2.512180196,2.422212311,1.577898305,2.477577163,0.02076182,0.103809099
