Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
06/01/2021,West,WC+GM+TRU,4150080502,A,0.00211,1846988.323,1729346.869,443297.2585,408940.5273,72.07548357,72.07548357,19285.44736,17980.58079,3.130778818,3.175825995,3.318475389,3.461124784,2.98062156,2.973113697,0.427948184,0.442963909
06/01/2021,West,WC+GM+TRU,5700000912,G,-0.0211,1712980.869,1590783.978,353359.459,326193.2684,67.02529675,67.02529675,17879.69609,16554.55012,3.386173846,3.407119251,3.567700692,3.511846278,3.009156552,3.092938173,0.230399458,0.174545044
06/01/2021,West,WC+GM+TRU,5700000940,G,-0.0211,1486581.286,1682291.661,308877.0037,345619.4336,67.02529675,67.02529675,15482.84355,17495.69699,3.358246639,3.40013745,3.497882674,3.476937269,3.099919975,3.169737992,0.244363061,0.181526845
06/01/2021,West,WC+GM+TRU,67070045037,AO MANUF.,0.00633,1270738.535,1296361.067,195538.8813,214168.0913,29.82832606,25.56713662,29943.37818,35987.16519,4.616288557,4.296699349,4.850653976,4.673104416,4.204373578,3.962906177,0.255671366,0.369303085
06/01/2021,West,WC+GM+TRU,5620080506,A,0.00211,1123224.336,1104613.095,153729.4986,147721.7067,66.81997956,67.57076585,12640.23793,12275.3558,5.488247759,5.615881428,5.720991508,5.743515097,5.022760261,5.25550401,0.255267338,0.202712298
06/01/2021,West,WC+GM+TRU,5972100003,B,-0.003165,905755.6628,906853.7477,280348.9946,282348.2714,67.74817243,68.45388256,9392.296114,9385.944722,2.279443718,2.265329516,2.378243136,2.34295763,2.088901983,2.117130389,0.246998545,0.239941444
06/01/2021,West,WC+GM+TRU,5620078067,A,0.00211,889144.1873,784805.9154,219626.7618,188592.2598,70.57391099,70.57391099,9446.393065,8340.484864,3.040684463,3.123270955,3.100747366,3.325983252,2.98062156,2.958097971,0.390408869,0.412932458
06/01/2021,West,WC+GM+TRU,5900000624,AO MANUF.,0.00633,807788.7102,816320.3217,213893.9548,233002.5486,49.71387677,51.84447149,11468.28117,11195.56505,2.684549345,2.485693838,2.741365205,2.563815645,2.450183926,2.329450226,0.14914163,0.227263437
06/01/2021,West,WC+GM+TRU,5700000913,G,-0.0211,786951.6891,784119.1721,266655.954,263064.5152,58.64713466,58.64713466,9422.639635,9366.785221,2.059631515,2.08057692,2.073595118,2.087558722,1.989813497,2.017740704,0.104727026,0.062836216
06/01/2021,West,WC+GM+TRU,5700000060,G,-0.0211,652015.8032,465553.5221,181848.0082,132436.4009,45.38171134,40.49445012,10062.17267,8073.755538,2.506466826,2.457594214,2.534394033,2.443630611,1.591850798,2.499485025,0.020945405,0.104727026
06/01/2021,West,WC+GM+TRU,14973377000,E,0.00633,644184.3306,555678.822,109599.2995,86619.37158,61.15210045,60.41532815,7778.841886,6751.781307,4.332221092,4.730078131,4.649033179,4.7521813,3.963834945,4.597459118,0.338915256,0.132619013
06/01/2021,West,WC+GM+TRU,69033500001,AO MANUF.,0.00633,593986.371,564391.7002,84314.735,82236.69495,14.91416303,9.942775353,28048.56927,41219.90582,4.999795606,4.871959923,4.999795606,4.822246046,4.999795606,5.148937237,0.042611894,0.106529736
06/01/2021,West,WC+GM+TRU,5835300200,F,0.005275,611623.5915,574087.3636,109669.2061,103965.5262,41.00474709,41.80876173,11920.32118,10991.68426,4.48640174,4.438160861,4.615044084,4.639164523,4.180876173,4.084394416,0.241204395,0.289445274
06/01/2021,West,WC+GM+TRU,2100002685,AO MANUF.,0.00633,471921.0486,549314.9017,111011.797,128866.1808,27.69773134,34.0895155,12150.78168,11411.46531,3.018342518,3.0254445,3.05385243,3.046750448,2.350756173,2.890506835,0.035509912,0.078121806
06/01/2021,West,WC+GM+TRU,5700000925,G,-0.0211,353390.1789,335738.0896,58619.20745,54289.79219,16.05814401,16.75632419,15369.73836,14011.77792,4.210026452,4.314753478,4.356644289,4.349662487,2.813666103,2.743848086,0.062836216,0.013963603
06/01/2021,West,WC+GM+TRU,11210135802,B,-0.003165,354217.791,369152.7345,29935.51798,30634.17101,35.28550648,38.81405712,7032.40144,6755.05736,8.348550832,8.503807061,8.616720681,8.517921263,7.515812879,8.362665035,0.169370431,0.063513912
06/01/2021,West,WC+GM+TRU,5900000641,AO MANUF.,0.00633,343748.7315,228846.4685,94667.29473,70382.77613,31.95892078,28.40792958,7708.491692,5688.687899,2.578019609,2.308144278,2.755569169,2.464387891,2.102186789,2.087982824,0.191753525,0.298283261
06/01/2021,West,WC+GM+TRU,5620081879,A,0.00211,363010.4254,420672.3138,50578.97059,56422.34027,39.04088693,50.30268124,6993.574265,6305.10324,5.390645542,5.600865702,5.69846792,5.803578,4.917650181,5.120362479,0.292806652,0.225235886
06/01/2021,West,WC+GM+TRU,11210000155,B,-0.003165,331576.4929,346595.4159,48828.08386,54011.52476,40.93118751,42.34260777,5716.252049,5803.054395,4.791771779,4.530659031,4.869399894,4.700029462,4.544773234,4.234260777,0.169370431,0.254055647
06/01/2021,West,WC+GM+TRU,65527300064,D,0.003165,320048.9467,246230.6713,53761.67519,40334.61779,62.60768265,53.44558275,3884.730357,3540.388103,4.542874534,4.657400782,4.802467364,4.802467364,4.115309872,4.321457119,0.28249808,0.229052497
06/01/2021,West,WC+GM+TRU,65527300063,D,0.003165,282409.5133,239391.9272,47504.72447,39359.61766,61.84417432,52.68207442,3485.415503,3485.415503,4.53523945,4.642130616,4.771927031,4.787197198,4.115309872,4.290916786,0.274862997,0.221417414
