Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
03/01/2021,West,WC+GM+TRU,4150080502,A,-0.00211,1898505.256,1777582.5,455661.882,420346.8591,74.08584162,74.08584162,19823.36473,18482.1023,3.218103746,3.264407397,3.411035625,3.557663853,3.063758242,3.056040967,0.439884685,0.455319235
03/01/2021,West,WC+GM+TRU,5700000912,G,0.013715,1867783.898,1734544.007,385292.7489,355671.5346,73.08240992,73.08240992,19495.49412,18050.59397,3.692184251,3.715022504,3.890115778,3.82921377,3.281095695,3.372448708,0.251220784,0.190318776
03/01/2021,West,WC+GM+TRU,5700000940,G,0.013715,1620924.459,1834321.29,336790.3895,376853.2531,73.08240992,73.08240992,16882.03669,19076.79281,3.661733247,3.707409753,3.813988268,3.791150014,3.380061459,3.456188969,0.266446286,0.197931527
03/01/2021,West,WC+GM+TRU,67070045037,AO MANUF.,0.01477,1357774.039,1385151.511,208931.7428,228836.9058,31.87132967,27.31828257,31994.26194,38452.0004,4.932467686,4.590989154,5.182885277,4.993174981,4.492339801,4.234333798,0.273182826,0.394597415
03/01/2021,West,WC+GM+TRU,5620080506,A,-0.00211,1154553.756,1135423.402,158017.3829,151842.0193,68.68374901,69.45547652,12992.80447,12617.7449,5.641328149,5.772521827,5.880563679,5.903715504,5.162857088,5.402092618,0.262387356,0.20836643
03/01/2021,West,WC+GM+TRU,5972100003,B,0.00422,964848.6033,966018.329,298639.4091,300769.1219,72.16817099,72.91992277,10005.06445,9998.298689,2.428158253,2.413123217,2.533403502,2.495815913,2.225185272,2.255255343,0.263113123,0.255595606
03/01/2021,West,WC+GM+TRU,5620078067,A,-0.00211,913944.5506,806696.0342,225752.6788,193852.5502,72.54238659,72.54238659,9709.875618,8573.120985,3.125496444,3.21038647,3.187234645,3.4187529,3.063758242,3.040606417,0.401298309,0.424450134
03/01/2021,West,WC+GM+TRU,5900000624,AO MANUF.,0.01477,863115.8259,872231.7851,228543.9931,248961.374,53.11888278,55.39540632,12253.76742,11962.3724,2.86841967,2.655944139,2.929126965,2.739416669,2.61800208,2.488999079,0.159356648,0.242829178
03/01/2021,West,WC+GM+TRU,5700000913,G,0.013715,858068.9489,854980.4558,290753.8002,286837.8011,63.94710868,63.94710868,10274.16879,10213.26679,2.245761555,2.268599808,2.260987057,2.276212559,2.169634044,2.200085049,0.114191265,0.068514759
03/01/2021,West,WC+GM+TRU,5700000060,G,0.013715,710938.8322,507625.8516,198281.7134,144404.7518,49.48288171,44.15395599,10971.49679,8803.385295,2.732977621,2.679688364,2.763428625,2.664462862,1.735707236,2.72536487,0.022838253,0.114191265
03/01/2021,West,WC+GM+TRU,14973377000,E,-0.005275,676125.0518,583231.1567,115033.5836,90914.2373,64.18421734,63.41091352,8164.541767,7086.556237,4.547026481,4.964610546,4.879547126,4.987809661,4.16037457,4.825415858,0.355719759,0.139194688
03/01/2021,West,WC+GM+TRU,69033500001,AO MANUF.,0.01477,634669.7233,603048.0524,90089.62519,87869.25589,15.93566483,10.62377656,29969.67366,44043.14223,5.342241925,5.205650512,5.342241925,5.152531629,5.342241925,5.501598573,0.045530471,0.113826177
03/01/2021,West,WC+GM+TRU,5835300200,F,0.024265,607575.0528,570287.2896,108943.2694,103277.344,40.73332311,41.53201572,11841.41664,10918.92667,4.456704764,4.408783207,4.584495582,4.60845636,4.153201572,4.057358459,0.239607783,0.28752934
