Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
05/01/2021,West,GB+DR+MM,4150080502,A,0.005275,2632443.586,2464773.608,631815.0529,582847.6849,102.7264992,102.7264992,27486.829,25627.05134,4.462182308,4.52638637,4.729699233,4.933012096,4.248168768,4.237468091,0.609938589,0.631339943
05/01/2021,West,GB+DR+MM,5700000912,G,0.005275,2499335.186,2321043.067,515571.2741,475934.278,97.79366807,97.79366807,26087.47964,24154.01733,4.940617606,4.971178127,5.205475457,5.123980733,4.390528223,4.512770308,0.336165734,0.254671011
05/01/2021,West,GB+DR+MM,5700000940,G,0.005275,2169005.493,2454557.91,450668.8764,504278.1428,97.79366807,97.79366807,22590.33732,25527.20342,4.899870244,4.960991286,5.103607052,5.073046531,4.522957148,4.624825552,0.356539415,0.264857851
05/01/2021,West,GB+DR+MM,67070045037,AO MANUF.,-0.00844,1803541.331,1839907.03,277525.5842,303965.76,42.33492368,36.28707744,42498.21553,51076.07744,6.551833426,6.098244958,6.88446497,6.632471376,5.96720829,5.624497003,0.362870774,0.524146674
05/01/2021,West,GB+DR+MM,5620080506,A,0.005275,1600889.763,1574363.855,219104.9221,210542.2403,95.23602527,96.30609297,18015.65979,17495.60689,7.822194885,8.004106394,8.153915872,8.186017903,7.158752911,7.490473898,0.363823018,0.288918279
05/01/2021,West,GB+DR+MM,5972100003,B,0.013715,1297771.101,1299344.442,401685.3974,404549.9709,97.0699096,98.08105449,13457.32736,13448.22706,3.265998,3.245775102,3.407558285,3.35700104,2.992988879,3.033434675,0.353900712,0.343789263
05/01/2021,West,GB+DR+MM,5620078067,A,0.005275,1267264.056,1118554.607,313025.8341,268793.5157,100.5863638,100.5863638,13463.5918,11887.38208,4.333774184,4.451481631,4.4193796,4.74039991,4.248168768,4.216066737,0.556435204,0.588537235
05/01/2021,West,GB+DR+MM,5900000624,AO MANUF.,-0.00844,1146483.156,1158591.952,303576.6819,330697.2404,70.55820613,73.58212925,16276.77018,15889.70802,3.810143131,3.527910307,3.890781081,3.638787488,3.477511588,3.306155944,0.211674618,0.322551799
05/01/2021,West,GB+DR+MM,5700000913,G,0.005275,1148206.662,1144073.861,389065.9963,383825.8856,85.56945956,85.56945956,13748.15984,13666.66511,3.005117925,3.035678446,3.025491606,3.045865287,2.903249521,2.943996883,0.152802606,0.091681564
05/01/2021,West,GB+DR+MM,5700000060,G,0.005275,951327.6348,679268.7063,265326.4457,193232.1386,66.21446276,59.08367446,14681.27442,11780.06227,3.657075712,3.585767829,3.697823074,3.565394148,2.322599617,3.646888872,0.030560521,0.152802606
05/01/2021,West,GB+DR+MM,14973377000,E,0.013715,914281.7608,788667.1371,155552.7443,122937.6559,86.79231614,85.74662558,11040.40089,9582.708254,6.148660469,6.713333369,6.598307408,6.744704085,5.625815191,6.525109069,0.481017656,0.1882243
05/01/2021,West,GB+DR+MM,69033500001,AO MANUF.,-0.00844,843036.5027,801033.2026,119666.7176,116717.3846,21.16746184,14.11164123,39808.9399,58502.83263,7.096139588,6.914704201,7.096139588,6.844145995,7.096139588,7.307814206,0.060478462,0.151196156
05/01/2021,West,GB+DR+MM,5835300200,F,0.036925,868979.7686,815649.2184,155815.313,147711.6648,58.258537,59.40086126,16936.0994,15616.71489,6.374169342,6.305629887,6.556941223,6.591210951,5.940086126,5.803007215,0.342697276,0.411236732
