Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
11/01/2021,West,GB+DR+MM,4150080502,A,0.01477,3055231.832,2874604.419,736870.2493,679760.8206,119.807372,119.807372,32057.20795,29888.19532,5.20413272,5.279012327,5.516131084,5.753249841,4.954534028,4.942054093,0.711356271,0.73631614
11/01/2021,West,GB+DR+MM,5700000912,G,-0.00633,2788121.604,2589228.67,575143.1084,530926.244,109.0932662,109.0932662,29101.76514,26944.90036,5.511482718,5.545574364,5.806943647,5.716032592,4.897833096,5.034199679,0.375008102,0.284097047
11/01/2021,West,GB+DR+MM,5700000940,G,-0.00633,2419623.87,2738170.525,502741.5441,562545.109,109.0932662,109.0932662,25200.54449,28476.75164,5.466027191,5.534210482,5.693304828,5.659213183,5.04556356,5.159202379,0.397735866,0.295460929
11/01/2021,West,GB+DR+MM,67070045037,AO MANUF.,0.009495,2089956.018,2132096.839,321598.5434,352237.5997,49.05799884,42.04971329,49247.22255,59187.30756,7.592309345,7.066687929,7.97776505,7.685753152,6.914841742,6.517705561,0.420497133,0.607384748
11/01/2021,West,GB+DR+MM,5620080506,A,0.01477,1867078.085,1836141.575,255536.6445,245550.2008,111.0714178,112.3194112,21011.21786,20404.69304,9.122832177,9.334991065,9.509710149,9.547149953,8.349076233,8.735954205,0.424317776,0.336958234
11/01/2021,West,GB+DR+MM,5972100003,B,0.01688,1513237.654,1515072.215,468376.4865,471716.6599,113.1862485,114.3652719,15691.62272,15681.01151,3.808245653,3.784665184,3.973308932,3.914357761,3.489909329,3.537070266,0.412658198,0.400867963
11/01/2021,West,GB+DR+MM,5620078067,A,0.01477,1477978.684,1304542.537,365074.2783,313487.2207,117.311385,117.311385,15702.25369,13863.95932,5.054373505,5.191652785,5.154212981,5.528611019,4.954534028,4.917094224,0.648956598,0.686396402
11/01/2021,West,GB+DR+MM,5900000624,AO MANUF.,0.009495,1328552.515,1342584.271,351786.7334,383214.2219,81.7633314,85.26747418,18861.63251,18413.10223,4.415219896,4.08816657,4.508663703,4.216651805,4.029764191,3.8311961,0.245289994,0.373775229
11/01/2021,West,GB+DR+MM,5700000913,G,-0.00633,1280876.538,1276266.212,434020.7411,428175.1603,95.4566079,95.4566079,15336.695,15245.78395,3.352345158,3.386436804,3.375072922,3.397800686,3.238706339,3.284161867,0.170458228,0.102274937
11/01/2021,West,GB+DR+MM,5700000060,G,-0.00633,1061249.066,757755.0085,295983.6678,215559.2029,73.8652323,65.91051498,16377.62658,13141.19302,4.0796336,4.000086426,4.125089127,3.977358663,2.590965072,4.068269718,0.034091646,0.170458228
