Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
10/01/2021,West,WC+GM+TRU,4150080502,A,0.01266,1988138.323,1883891.806,482912.9932,445485.9358,78.51658642,78.51658642,21008.91203,19587.43467,3.410564222,3.459637089,3.6150345,3.77043191,3.246988001,3.23880919,0.466192232,0.482549854
10/01/2021,West,WC+GM+TRU,5700000912,G,0.01688,1866014.53,1732900.858,384927.7577,355334.6039,73.01317831,73.01317831,19477.02587,18033.49449,3.688686612,3.711503231,3.886430637,3.825586322,3.277987484,3.369253957,0.2509828,0.190138485
10/01/2021,West,WC+GM+TRU,5700000940,G,0.01688,1619388.943,1832583.621,336471.345,376496.2567,73.01317831,73.01317831,16866.04419,19058.7212,3.658264455,3.703897691,3.810375243,3.787558625,3.376859497,3.452914891,0.266193879,0.197744025
10/01/2021,West,WC+GM+TRU,67070045037,AO MANUF.,0.013715,1376824.109,1404585.698,211863.1321,232047.572,32.31849617,27.70156814,32443.15322,38991.49614,5.001672026,4.655402424,5.255603067,5.063231066,4.555368983,4.293743062,0.277015681,0.400133762
10/01/2021,West,WC+GM+TRU,5620080506,A,0.01266,1223602.483,1203328.028,167467.7,160923.0154,72.79141866,73.60929977,13769.84634,13372.35612,5.978710903,6.117750692,6.232254047,6.25679048,5.471624616,5.72516776,0.278079577,0.220827899
10/01/2021,West,WC+GM+TRU,5972100003,B,0.01899,989652.9451,990852.7422,306316.8353,308501.2988,74.02347137,74.7945492,10262.2748,10255.3351,2.49058138,2.475159824,2.598532276,2.559978385,2.282390367,2.31323348,0.269877239,0.262166461
10/01/2021,West,WC+GM+TRU,5620078067,A,0.01266,968603.5107,854940.9373,239253.9428,205446.0093,76.8808242,76.8808242,10290.58011,9085.841234,3.312418489,3.402385411,3.377848978,3.623213311,3.246988001,3.222451568,0.425298176,0.44983461
10/01/2021,West,WC+GM+TRU,5900000624,AO MANUF.,0.013715,875225.6591,884469.5185,231750.5496,252454.3938,53.86416028,56.17262429,12425.69229,12130.20889,2.908664655,2.693208014,2.970223695,2.777851694,2.654733614,2.523920653,0.161592481,0.246236161
10/01/2021,West,WC+GM+TRU,5700000913,G,0.01688,857256.0926,854170.5253,290478.3666,286566.0771,63.88653102,63.88653102,10264.43598,10203.59167,2.243634125,2.266450743,2.258845204,2.274056283,2.167578731,2.198000889,0.114083091,0.068449855
10/01/2021,West,WC+GM+TRU,5700000060,G,0.01688,710265.3536,507144.9732,198093.8794,144267.9559,49.43600615,44.11212856,10961.10339,8795.04577,2.730388647,2.677149871,2.760810805,2.661938792,1.734062985,2.722783108,0.022816618,0.114083091
10/01/2021,West,WC+GM+TRU,14973377000,E,0.01266,696624.2152,600913.9075,118521.2405,93670.62948,66.1301928,65.33344349,8412.079224,7301.410685,4.684885948,5.115130576,5.027488151,5.139033055,4.286511292,4.9717157,0.366504683,0.143414876
10/01/2021,West,WC+GM+TRU,69033500001,AO MANUF.,0.013715,643574.3734,611509.0388,91353.61583,89102.09393,16.15924808,10.77283206,30390.15923,44661.08375,5.417195548,5.278687707,5.417195548,5.224823547,5.417195548,5.578788029,0.04616928,0.115423201
10/01/2021,West,WC+GM+TRU,5835300200,F,0.036925,682251.6966,640380.9193,122333.4138,115971.0934,45.73982864,46.63668803,13296.83724,12260.96465,5.004475369,4.950663806,5.147972871,5.174878652,4.663668803,4.556045676,0.269057816,0.322869379
10/01/2021,West,WC+GM+TRU,2100002685,AO MANUF.,0.013715,511318.6227,595173.578,120279.4394,139624.3678,30.01003215,36.93542419,13165.17026,12364.13325,3.270324017,3.278018897,3.308798417,3.301103537,2.547005293,3.131816176,0.0384744,0.08464368
10/01/2021,West,WC+GM+TRU,5700000925,G,0.01688,384961.2221,365732.1368,63856.10886,59139.91387,17.49274064,18.25329458,16742.83445,15263.55704,4.586140262,4.700223354,4.74585659,4.738251051,3.065032381,2.988976987,0.068449855,0.015211079
10/01/2021,West,WC+GM+TRU,11210135802,B,0.01899,387027.8647,403346.1847,32708.35033,33471.71738,38.55389134,42.40928047,7683.790544,7380.756958,9.121850691,9.291487813,9.414860265,9.306909369,8.211978855,9.137272247,0.185058678,0.069397004
10/01/2021,West,WC+GM+TRU,5900000641,AO MANUF.,0.013715,372446.0447,247951.35,102570.4425,76258.56966,34.62696018,30.77952016,8352.022795,6163.598912,2.793241454,2.500836013,2.985613455,2.670123374,2.277684492,2.262294732,0.207761761,0.323184962
