Period,Region,Channel,SKU ID,Manufacturer,%,Curr $ Vol,YAGO $ Vol,Curr Vol,YAGO Vol,Curr Avg AC Dist,YAGO Avg AC Dist,Curr $SPPD,YAGO $SPPD,Curr Avg Price/Unit,YAGO Avg Price/Unit,Curr Avg Regular Unit Price,YAGO Avg Regular Unit Price,Curr Avg TPR Unit Price,YAGO Avg TPR Unit Price,Curr % Vold Sold (Any TPR),YAGO % Vol Sold (Any TPR)
09/01/2021,West,WC+GM+TRU,4150080502,A,0.003165,1915398.203,1814965.758,465244.6305,429186.9188,75.643896,75.643896,20240.25788,18870.78818,3.285781733,3.333059168,3.482771045,3.632482923,3.128190283,3.12031071,0.449135633,0.464894778
09/01/2021,West,WC+GM+TRU,5700000912,G,0.003165,1790282.02,1662570.789,369305.4006,340913.2899,70.04992632,70.04992632,18686.54753,17301.60212,3.538980653,3.560871255,3.728699203,3.670324265,3.144949817,3.232512225,0.240796622,0.182421683
09/01/2021,West,WC+GM+TRU,5700000940,G,0.003165,1553665.774,1758207.91,322815.5995,361216.0935,70.04992632,70.04992632,16181.53298,18285.21983,3.509793184,3.553574387,3.65573053,3.633839928,3.239809092,3.312777766,0.255390356,0.18971855
09/01/2021,West,WC+GM+TRU,67070045037,AO MANUF.,-0.009495,1325069.703,1351787.741,203899.2603,223324.9731,31.10365355,26.66027447,31223.62479,37525.81745,4.813660669,4.480407238,5.058046518,4.872905723,4.384134025,4.132342544,0.266602745,0.385092854
09/01/2021,West,WC+GM+TRU,5620080506,A,0.003165,1178834.475,1159301.803,161340.5506,155035.3167,70.12819525,70.9161525,13266.04826,12883.10104,5.759967498,5.89392023,6.004234245,6.027872963,5.271434003,5.51570075,0.267905465,0.212748458
09/01/2021,West,WC+GM+TRU,5972100003,B,-0.005275,947521.6326,948670.3522,293276.3746,295367.8416,70.87215856,71.61041021,9825.391232,9818.746967,2.384552835,2.369787802,2.487908066,2.450995483,2.185224889,2.214754955,0.258388078,0.251005562
09/01/2021,West,WC+GM+TRU,5620078067,A,0.003165,933165.1639,823661.1689,230500.3464,197929.3455,74.0679815,74.0679815,9914.07812,8753.41709,3.191226863,3.27790216,3.254263443,3.490650618,3.128190283,3.104551565,0.40973777,0.433376488
09/01/2021,West,WC+GM+TRU,5900000624,AO MANUF.,-0.009495,842326.1881,851222.5736,223039.1157,242964.7086,51.83942259,54.06111213,11958.61423,11674.23797,2.79932882,2.59197113,2.858573874,2.673433079,2.554942971,2.42904723,0.155518268,0.236980218
09/01/2021,West,WC+GM+TRU,5700000913,G,0.003165,822464.2115,819503.8724,278689.2538,274935.7452,61.29368553,61.29368553,9847.852142,9789.477204,2.152575861,2.174466463,2.167169596,2.18176333,2.079607188,2.108794657,0.10945301,0.065671806
09/01/2021,West,WC+GM+TRU,5700000060,G,0.003165,681439.1161,486562.4101,190054.2064,138412.8169,47.42963761,42.32183049,10516.24519,8438.097375,2.61957537,2.568497299,2.648762839,2.553903564,1.66368575,2.612278502,0.021890602,0.10945301
09/01/2021,West,WC+GM+TRU,14973377000,E,0.003165,671136.7889,578928.2392,114184.8977,90243.4973,63.71068401,62.94308541,8104.306045,7034.273593,4.513479783,4.927983028,4.843547182,4.951010986,4.129680482,4.78981528,0.353095357,0.138167748
09/01/2021,West,WC+GM+TRU,69033500001,AO MANUF.,-0.009495,619382.6051,588522.5968,87919.66071,85752.77285,15.55182678,10.36788452,29247.80223,42982.28696,5.213564786,5.080263414,5.213564786,5.028423991,5.213564786,5.369083054,0.044433791,0.111084477
09/01/2021,West,WC+GM+TRU,5835300200,F,0.00422,641908.9243,602514.0415,115099.6186,109113.5136,43.03515014,43.87897662,12510.5713,11535.95172,4.708551722,4.657922133,4.843563957,4.868878752,4.387897662,4.286638485,0.253147942,0.30377753
09/01/2021,West,WC+GM+TRU,2100002685,AO MANUF.,-0.009495,492098.3085,572801.181,115758.1712,134375.9295,28.88196401,35.54703263,12670.29544,11899.36917,3.147393514,3.154799146,3.184421673,3.177016042,2.451264125,3.014092142,0.037028159,0.08146195
